source,source_release,outcome_id,outcome_label,outcome_family,native_unit,higher_value_interpretation,definition
CDC PLACES 2024,2024 release,COGNITION,Cognitive Disability,Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence,Cognitive disability among adults
CDC PLACES 2024,2024 release,DISABILITY,Any Disability,Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence,Any disability among adults
CDC PLACES 2024,2024 release,HEARING,Hearing Disability,Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence,Hearing disability among adults
CDC PLACES 2024,2024 release,INDEPLIVE,Independent Living Disability,Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence,Independent living disability among adults
CDC PLACES 2024,2024 release,MOBILITY,Mobility Disability,Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence,Mobility disability among adults
CDC PLACES 2024,2024 release,SELFCARE,Self-care Disability,Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence,Self-care disability among adults
CDC PLACES 2024,2024 release,VISION,Vision Disability,Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence,Vision disability among adults
CDC PLACES 2024,2024 release,ARTHRITIS,Arthritis,Health Outcomes,Age-adjusted percentage of adults,Worse health / higher risk prevalence,Arthritis among adults
CDC PLACES 2024,2024 release,BPHIGH,High Blood Pressure,Health Outcomes,Age-adjusted percentage of adults,Worse health / higher risk prevalence,High blood pressure among adults
CDC PLACES 2024,2024 release,CANCER,Cancer (non-skin) or Melanoma,Health Outcomes,Age-adjusted percentage of adults,Worse health / higher risk prevalence,Cancer (non-skin) or melanoma among adults
CDC PLACES 2024,2024 release,CASTHMA,Current Asthma,Health Outcomes,Age-adjusted percentage of adults,Worse health / higher risk prevalence,Current asthma among adults
CDC PLACES 2024,2024 release,CHD,Coronary Heart Disease,Health Outcomes,Age-adjusted percentage of adults,Worse health / higher risk prevalence,Coronary heart disease among adults
CDC PLACES 2024,2024 release,COPD,COPD,Health Outcomes,Age-adjusted percentage of adults,Worse health / higher risk prevalence,Chronic obstructive pulmonary disease among adults
CDC PLACES 2024,2024 release,DEPRESSION,Depression,Health Outcomes,Age-adjusted percentage of adults,Worse health / higher risk prevalence,Depression among adults
CDC PLACES 2024,2024 release,DIABETES,Diabetes,Health Outcomes,Age-adjusted percentage of adults,Worse health / higher risk prevalence,Diagnosed diabetes among adults
CDC PLACES 2024,2024 release,HIGHCHOL,High Cholesterol,Health Outcomes,Age-adjusted percentage of adults,Worse health / higher risk prevalence,High cholesterol among adults who have ever been screened
