county_fips,state,county,COGNITION,DISABILITY,HEARING,INDEPLIVE,MOBILITY,SELFCARE,VISION,ARTHRITIS,BPHIGH,CANCER,CASTHMA,CHD,COPD,DEPRESSION,DIABETES,HIGHCHOL,OBESITY,STROKE,TEETHLOST,BINGE,CSMOKING,LPA,SLEEP,GHLTH,MHLTH,PHLTH,EMOTIONSPT,ISOLATION,CHR_ALCOHOL_DRIVING_DEATHS,CHR_CHILD_MORTALITY,CHR_FIREARM_FATALITIES,CHR_HOMICIDES,CHR_INFANT_MORTALITY,CHR_INJURY_DEATHS,CHR_LIFEEXP,CHR_MVC_DEATHS,CHR_OVERDOSE_DEATHS,CHR_PREMATURE_AAM,CHR_PREMATURE_DEATH,CHR_SUICIDES,CHR_HIV_PREVALENCE,CHR_LOW_BIRTH_WEIGHT,CHR_STI,CHR_TEEN_BIRTHS
01001,AL,Autauga,14.1,31.1,6.4,7.6,13.3,3.4,4.6,29.7,37.1,7.1,10,6.2,6.8,24.3,11.3,31.5,38.4,3.2,12,16.6,15.4,25.7,37.7,17.7,18,12.1,24,34.3,0.27450980390000007,61.25574272600001,17.453895535,8.0525631057000009,7.380851961199999,65.97572512199999,74.800645825,17.866624391,10.857204898000003,491.52206077,9938.263382300001,15.583026865,223.6,0.09995826379999997,497,19.846153846
01003,AL,Baldwin,14.4,29.6,6.6,7.5,11.9,2.9,4.3,27.8,32.4,7.5,9.9,6,6.4,25.1,10.2,31.8,36.8,2.8,11.4,18.2,14.7,23.8,36.4,17,18.2,12.1,22.5,31.6,0.3641618497,50.158297747,14.961877481999998,3.8669686705999995,5.3893665980000005,82.420053413,76.580109234,15.024124179,31.607684304000003,416.87613079999994,8957.1126859,19.207185950000003,170.1,0.08133285559999999,336.8,18.970019846999996
01005,AL,Barbour,20.1,40.7,7.9,12.3,19.9,6.5,8.6,31.8,44.1,6.2,11.2,8.2,9.8,23.5,16,32.8,43.8,5,27.7,13.7,21.9,34.9,44.6,28.4,21.1,16.8,30.7,35.7,0.3,71.70707659199999,26.650299614,13.138277514999999,NA,85.603992699,72.708991709,25.705325571999996,16.159657415000005,629.20654916,12738.656136999998,14.787585791,536.4,0.12454212450000002,809.5,35.930645498
01007,AL,Bibb,19.7,37,7.8,10.9,16.9,5.1,6.8,29.7,39.1,7.1,10.8,7.5,9.3,26.6,13.3,33.6,41.4,4,21.7,15.6,21.8,32.2,41.4,25.1,21.3,16.1,29,36.3,0.15000000000000002,87.07678123199997,21.541665171000002,7.656821270599999,NA,99.630201415,72.97737851399998,24.246600689999998,27.019724399,621.15946924,11708.948038,17.838850899000004,322.1,0.10017472340000003,418.1,29.232333502999996
01009,AL,Blount,18.9,35.8,7.7,9.9,15.4,4.2,5.8,29,35.4,7.5,10.6,7.3,8.8,28,11.6,33.7,37.3,3.5,16.8,17.1,19.5,29.7,37.6,22.6,21.1,15.2,26.4,36.4,0.10958904109999999,58.036323911000004,18.144595307000003,5.885021394500001,8.0457336439,98.254695342,72.936172299,32.367617669999994,23.805205405000002,583.01102033,11898.088409,23.299702692999997,101.7,0.07646305000000002,305.8,23.082358483
01011,AL,Bullock,22.4,45.1,7.9,15.1,24.2,9.1,11.6,32.6,48.9,5.3,11.9,8.8,10.9,22.2,19.9,32.9,49.4,6.3,35.1,12.7,24.9,39.9,50.5,34.9,22.6,19.2,34.5,37.2,0.1851851852,NA,29.564223348,21.006049742,NA,116.28594516999999,70.96745637000001,54.61572933000001,NA,693.6733212100002,15998.089209,NA,781,0.141025641,735.1,35.938391329000005
01013,AL,Butler,19,38.4,7.1,11.6,18.6,5.7,7.5,31.5,41.8,6.3,11.4,7.4,8.9,24.1,14.8,33,45.5,4.5,22.8,13.8,20.4,34.3,43.6,26,21.4,15.8,29.3,35.5,0.25423728809999996,69.877445711,28.076451137000003,17.648486274999996,NA,120.62475303,71.54191706600001,38.23838692800001,21.038605842,697.88518068,14616.392619999999,14.795109739,362,0.12991339110000005,750.7,34.91807682
01015,AL,Calhoun,16.6,33.9,7.2,9.3,15.6,4.4,5.8,30.2,38,7,10.3,6.9,8.1,25.3,12.7,32.5,38.3,3.7,17.4,15.7,18,28.5,42.8,21.5,19.6,14.3,24.7,33.8,0.15686274510000003,60.662830635000006,23.904618826,9.969468502700002,6.683194998399999,99.10820068000001,70.813154873,21.932830706,33.60088521,692.55471872,14259.564795,19.172999507,263.5,0.094386921,564.8,24.507465972000002
01017,AL,Chambers,20.1,38.8,7.2,11.9,18.5,5.5,7.5,31.1,41,6.4,11.5,7.4,9.2,25.4,14.6,32.5,45.4,4.4,17.9,14.4,20.9,33.7,42.6,26.7,21.8,15.9,31.1,36.9,0.2631578947,95.04145773900001,26.134008066000007,11.444605988,9.0157776108,97.40857551799999,71.861783224,27.975703524999997,11.823359016000001,613.52825634,12568.860636999998,18.914350021000004,401.9,0.13075506450000002,836.1,28.806584362000002
01019,AL,Cherokee,16.7,33.2,7.5,8.8,14.1,3.7,5,30.5,36.4,7.6,10.2,7,7.8,27,11.3,32.4,40.2,3.4,18.1,17.1,17.6,26.9,37.4,19.5,20,13.7,23.8,32.5,0.1315789474,56.66525003500001,23.288309268999996,6.0974933759,NA,110.23133054,72.39552918300001,31.041784459000002,19.584290788,636.45289725,12680.903028,27.647307483000002,113.3,0.0763975155,241.1,26.613704071
