county_fips,State Name,County Name,2020 Population,Adherents,Congregations,religious_adherents,religious_congregations
1001,Alabama,Autauga County,58805,30249,110,0.514395034,0.001870589
1003,Alabama,Baldwin County,231767,124351,285,0.536534537,0.001229683
1005,Alabama,Barbour County,25223,17330,93,0.687071324,0.003687111
1007,Alabama,Bibb County,22293,10887,81,0.488359575,0.003633428
1009,Alabama,Blount County,59134,33895,145,0.573189705,0.002452058
1011,Alabama,Bullock County,10357,4894,43,0.472530656,0.004151781
1013,Alabama,Butler County,19051,11645,89,0.611254002,0.004671671
1015,Alabama,Calhoun County,116441,83651,286,0.718398159,0.00245618
1017,Alabama,Chambers County,34772,19381,120,0.557373749,0.003451053
1019,Alabama,Cherokee County,24971,12551,89,0.502623043,0.003564134
1021,Alabama,Chilton County,45014,33161,133,0.736681921,0.002954636
1023,Alabama,Choctaw County,12665,7787,76,0.614844058,0.00600079
1025,Alabama,Clarke County,23087,17471,112,0.756746221,0.004851215
1027,Alabama,Clay County,14236,9775,71,0.686639505,0.004987356
1029,Alabama,Cleburne County,15056,11829,66,0.785666844,0.004383634
1031,Alabama,Coffee County,53465,37072,126,0.693388198,0.002356682
1033,Alabama,Colbert County,57227,34511,142,0.603054502,0.002481346
1035,Alabama,Conecuh County,11597,5043,56,0.434853842,0.004828835
1037,Alabama,Coosa County,10387,4901,38,0.4718398,0.003658419
1039,Alabama,Covington County,37570,21733,118,0.578466862,0.003140804
1041,Alabama,Crenshaw County,13194,8042,62,0.609519479,0.004699106
1043,Alabama,Cullman County,87866,55013,224,0.626101109,0.002549336
1045,Alabama,Dale County,49326,24837,112,0.503527551,0.002270608
1047,Alabama,Dallas County,38462,21197,128,0.551115387,0.00332796
1049,Alabama,DeKalb County,71608,45266,202,0.632136074,0.002820914
1051,Alabama,Elmore County,87977,40632,146,0.461847983,0.001659525
1053,Alabama,Escambia County,36757,24084,115,0.655222135,0.003128656
1055,Alabama,Etowah County,103436,83850,251,0.810646197,0.002426621
1057,Alabama,Fayette County,16321,9847,90,0.603333129,0.005514368
1059,Alabama,Franklin County,32113,20080,101,0.625291938,0.003145144
1061,Alabama,Geneva County,26659,15369,92,0.576503245,0.003450992
1063,Alabama,Greene County,7730,2135,29,0.276196636,0.003751617
1065,Alabama,Hale County,14785,7974,61,0.539330402,0.004125803
1067,Alabama,Henry County,17146,10551,48,0.615362184,0.002799487
1069,Alabama,Houston County,107202,90243,225,0.841803325,0.002098841
1071,Alabama,Jackson County,52579,28326,156,0.538732193,0.002966964
1073,Alabama,Jefferson County,674721,539405,"1,202",0.799448957,0.001781477
1075,Alabama,Lamar County,13972,9724,85,0.695963355,0.006083596
1077,Alabama,Lauderdale County,93564,61998,224,0.662626651,0.002394083
