county_fips,pop_total,White,pct_white,BlackAmerican ,pct_black,NativeAmerican,pct_native,AsianAmerican,pct_asian,NativeHawaiian_PI,pct_nativehawaiian,OtherRace,pct_otherrace,Multiracial,pct_multiracial,Latino,pct_latino
1001,58761,42635,0.725566277,11496,0.195639965,59,0.001004067,636,0.010823505,0,0,141,0.002399551,1930,0.032844914,1864,0.03172172
1003,233420,192161,0.823241367,19318,0.082760689,512,0.002193471,2046,0.008765316,22,9.43E-05,992,0.00424985,7159,0.030670037,11210,0.048025019
1005,24877,11084,0.445552116,11662,0.468786429,63,0.00253246,126,0.005064919,3,0.000120593,290,0.011657354,447,0.017968405,1202,0.048317723
1007,22251,16520,0.742438542,4598,0.206642398,15,0.000674127,69,0.003100984,0,0,17,0.000764011,382,0.017167768,650,0.02921217
1009,59077,50614,0.85674628,729,0.012339828,75,0.00126953,100,0.001692706,117,0.001980466,87,0.001472654,1634,0.027658818,5721,0.096839718
1011,10328,2125,0.205751356,7117,0.689097599,0,0,43,0.004163439,0,0,0,0,136,0.013168087,907,0.08781952
1013,18981,9655,0.508666561,8462,0.445814235,69,0.003635214,243,0.012802276,0,0,8,0.000421474,222,0.011695906,322,0.016964333
1015,116162,81851,0.704628019,25204,0.216972848,174,0.001497908,708,0.006094936,207,0.001781994,427,0.003675901,2855,0.024577745,4736,0.040770648
1017,34612,18794,0.54299087,14107,0.407575407,10,0.000288917,60,0.001733503,3,8.67E-05,63,0.001820178,446,0.012885704,1129,0.032618745
1019,25069,22749,0.907455423,1000,0.039889904,113,0.004507559,21,0.000837688,0,0,16,0.000638238,691,0.027563924,479,0.019107264
1021,45140,35714,0.791182986,4254,0.094240142,17,0.000376606,229,0.005073106,15,0.0003323,318,0.00704475,929,0.020580416,3664,0.081169694
1023,12669,7162,0.565316915,5055,0.399005446,28,0.002210119,15,0.001183992,0,0,0,0,266,0.020996132,143,0.011287394
1025,23058,11809,0.512143291,10479,0.454462659,15,0.000650533,90,0.003903201,0,0,146,0.006331859,184,0.007979877,335,0.01452858
1027,14209,11385,0.801252727,1790,0.125976494,0,0,36,0.002533605,0,0,12,0.000844535,549,0.038637483,437,0.030755155
1029,15144,13964,0.922081352,411,0.027139461,22,0.001452721,15,0.000990491,0,0,28,0.001848917,303,0.020007924,401,0.026479134
1031,53559,36875,0.688493064,8598,0.160533244,277,0.005171867,563,0.010511772,8,0.000149368,71,0.001325641,2667,0.049795553,4500,0.084019493
1033,57270,44485,0.776759211,9171,0.160136197,170,0.002968395,214,0.003736686,53,0.000925441,78,0.00136197,1262,0.02203597,1837,0.032076131
1035,11576,5751,0.496803732,5553,0.479699378,33,0.002850726,36,0.003109883,0,0,12,0.001036628,111,0.009588804,80,0.00691085
1037,10329,6632,0.642075709,3120,0.302062155,9,0.000871333,0,0,0,0,57,0.005518443,227,0.021976958,284,0.027495401
1039,37542,30958,0.824623089,4606,0.122689255,101,0.00269032,218,0.00580683,0,0,85,0.002264131,825,0.021975388,749,0.019950988
1041,13205,9226,0.698674744,3026,0.229155623,10,0.000757289,154,0.011662249,6,0.000454373,0,0,448,0.033926543,335,0.025369178
1043,88284,80170,0.908092067,959,0.01086267,243,0.002752481,278,0.003148928,27,0.000305831,84,0.000951475,2467,0.027943908,4056,0.04594264
1045,49455,33286,0.673056314,10087,0.203963199,218,0.004408048,611,0.012354666,12,0.000242645,193,0.003902538,1581,0.031968456,3467,0.070104135
1047,38326,10365,0.270443041,26311,0.686505244,208,0.005427125,240,0.006262068,0,0,11,0.000287011,761,0.019855972,430,0.011219538
1049,71680,56705,0.791085379,1043,0.014550781,354,0.004938616,66,0.000920759,33,0.000460379,394,0.005496652,2064,0.028794643,11021,0.15375279
1051,87694,63533,0.724485142,18224,0.207813533,210,0.002394691,602,0.00686478,0,0,30,0.000342099,2356,0.026866148,2739,0.031233608
1053,36755,22117,0.60174126,11115,0.302407836,1118,0.03041763,90,0.002448646,0,0,63,0.001714053,1312,0.035695824,940,0.025574752
1055,103348,79648,0.77067771,15507,0.150046445,127,0.001228858,743,0.007189302,2,1.94E-05,395,0.003822038,2365,0.022883849,4561,0.044132446
1057,16297,13666,0.838559244,2074,0.127262686,24,0.001472664,36,0.002208996,40,0.002454439,28,0.001718108,368,0.022580843,61,0.00374302
1059,32011,24088,0.752491331,1360,0.042485396,57,0.001780638,35,0.001093374,14,0.00043735,73,0.002280466,492,0.015369717,5892,0.184061729
1061,26647,21535,0.808158517,2377,0.089203287,61,0.002289188,143,0.005366458,6,0.000225166,503,0.018876421,837,0.031410665,1185,0.044470297
1063,7706,1321,0.171424864,6305,0.818193615,7,0.000908383,0,0,0,0,0,0,49,0.006358682,24,0.003114456
1065,14742,5663,0.384140551,8373,0.567969068,42,0.002849003,9,0.000610501,0,0,0,0,630,0.042735043,25,0.001695835
1067,17282,12012,0.695058442,4344,0.251359796,60,0.00347182,96,0.005554913,8,0.000462909,0,0,293,0.016954056,469,0.027138063
1069,107040,69420,0.648542601,29026,0.271169656,248,0.002316891,976,0.009118087,17,0.000158819,457,0.004269432,3052,0.028512706,3844,0.035911809
1071,52618,46699,0.887509978,1708,0.032460375,397,0.007544947,213,0.004048044,17,0.000323083,59,0.001121289,1840,0.034969022,1685,0.032023262
1073,672265,328951,0.489317457,286423,0.426056689,570,0.00084788,11690,0.017388976,160,0.000238001,2913,0.004333113,13608,0.020242018,27950,0.041575867
1075,13885,11900,0.857039971,1527,0.109974793,49,0.003528988,23,0.001656464,0,0,37,0.002664746,273,0.019661505,76,0.005473533
1077,94329,78667,0.833964104,9197,0.097499178,213,0.002258054,574,0.006085085,64,0.000678476,125,0.001325149,2686,0.028474806,2803,0.029715146
1079,33116,25273,0.763165841,3366,0.10164271,1669,0.050398599,97,0.002929098,17,0.000513347,13,0.000392559,1852,0.055924629,829,0.025033217
1081,175126,117221,0.669352352,38635,0.220612588,224,0.001279079,7530,0.042997613,49,0.000279799,581,0.003317611,4106,0.023445976,6780,0.038714982
1083,104199,77842,0.747051315,13547,0.130010845,438,0.004203495,1872,0.017965623,61,0.000585418,86,0.000825344,3765,0.036132784,6588,0.063225175
1085,10153,2493,0.245543189,7595,0.748054762,0,0,0,0,0,0,0,0,46,0.004530681,19,0.001871368
1087,19198,3098,0.161370976,15130,0.788102927,7,0.000364621,73,0.003802479,0,0,11,0.000572976,426,0.022189811,453,0.023596208
