county_fips,county_population22,county_age22,county_income22,county_bachelor22,county_hs22
1001,58761,39,68315,0.295585747,0.90402608
1003,233420,43.7,71039,0.325615787,0.9159931
1005,24877,40.6,39712,0.118811881,0.76492221
1007,22251,40.3,50669,0.109199372,0.78863422
1009,59077,40.8,57440,0.147414068,0.81755151
1011,10328,39.2,36136,0.093767468,0.73378983
1013,18981,41.6,44429,0.130483944,0.87592341
1015,116162,39.2,54339,0.191534378,0.85071772
1017,34612,42.2,48805,0.127337489,0.8345746
1019,25069,46.8,46621,0.145926686,0.81925174
1021,45140,39.9,62471,0.139730145,0.82162109
1023,12669,46.7,43299,0.130468405,0.82390632
1025,23058,42.7,47549,0.137683422,0.81392445
1027,14209,43.9,48074,0.127623595,0.83338307
1029,15144,42.2,51553,0.16491063,0.82549389
1031,53559,39.2,62199,0.21607944,0.86620527
1033,57270,42,56149,0.180433452,0.8638178
1035,11576,46.2,39888,0.133142448,0.8942973
1037,10329,50.2,52279,0.106348615,0.83488632
1039,37542,42.9,48772,0.163080879,0.85756418
1041,13205,42.3,48557,0.171950153,0.82072584
1043,88284,41.4,58119,0.182964889,0.84613134
1045,49455,37.7,52813,0.191616944,0.85662125
1047,38326,40.4,37180,0.156942734,0.85310191
1049,71680,39.6,47920,0.141490131,0.77726568
1051,87694,38.9,73258,0.241604692,0.88546342
1053,36755,40.5,41153,0.125564589,0.82266997
1055,103348,41.9,52177,0.177198652,0.86118407
1057,16297,43.7,45650,0.130031502,0.83741687
1059,32011,39.3,47359,0.148283453,0.80099293
1061,26647,43.6,47608,0.139131809,0.83400063
1063,7706,41.1,32796,0.16718664,0.81886585
1065,14742,40.5,35851,0.163727455,0.80571142
1067,17282,44.6,58395,0.209617069,0.81530133
1069,107040,40.4,55064,0.224602327,0.87615045
1071,52618,43,46748,0.161885625,0.82034741
1073,672265,37.9,63595,0.355714942,0.91063392
1075,13885,44.2,49565,0.102385284,0.82069941
1077,94329,40.8,56081,0.258255375,0.88787869
1079,33116,42.7,54786,0.157807309,0.82664622
1081,175126,33,59288,0.401628628,0.91712114
1083,104199,40.2,80146,0.29530431,0.873267
1085,10153,41.7,33125,0.16318408,0.83326226
1087,19198,37.8,41206,0.205555556,0.82718855
1089,389781,38.5,78058,0.450855764,0.92224612
1091,19180,41.7,42975,0.219589136,0.89105178
1093,29203,44,49743,0.118306471,0.8062064
1095,97923,38.8,58272,0.214216478,0.8436649
1097,413878,38.2,55352,0.242081982,0.88133692
1099,19816,43.7,39965,0.135113446,0.83694463
1101,228132,36.9,56707,0.336775795,0.87967671
1103,123102,40.6,61588,0.238471145,0.85231048
1105,8479,41.8,32332,0.152239368,0.79582236
1107,18925,42.9,45339,0.145085344,0.84947028
1109,32997,31.1,42616,0.277115335,0.87898985
1111,22179,44.1,49879,0.188036378,0.82016139
1113,58849,37.2,47420,0.163640012,0.85191131
1115,91719,41,73218,0.193279916,0.87286704
1117,223916,40,90618,0.45603827,0.93792834
1119,12196,35.8,31726,0.21756867,0.88808812
1121,81105,42.1,52457,0.166027941,0.83212556
1123,41251,45.2,53282,0.181513685,0.81879081
1125,231558,32.8,61645,0.308765207,0.90640255
1127,64978,41.8,52987,0.152889733,0.82666019
1129,15434,43.7,51184,0.142190476,0.88266667
1131,10441,41.1,38208,0.116140897,0.77705475
1133,23655,45.4,49494,0.138251559,0.80038828
2013,3407,41.6,79961,0.169345794,0.81009346
2016,5219,39.2,100662,0.154364154,0.8953639
2020,290674,34.5,95731,0.370343043,0.94179388
2050,18538,28.7,64094,0.096943318,0.82738154
2060,854,36.4,94167,0.262578616,0.94968553
2063,7000,37.8,83068,0.31466829,0.94542504
2066,2614,43.1,70606,0.280848688,0.92406477
2068,2101,44.4,87292,0.251493429,0.96654719
2070,4854,30.7,69412,0.204686423,0.88111647
2090,96299,32.1,81655,0.329453953,0.94668297
2100,2079,46.2,68276,0.336619718,0.97676056
2105,2329,50,62344,0.275299238,0.94015234
2110,32108,39,95711,0.407373513,0.9544167
2122,59235,41.2,76272,0.27967343,0.94227398
2130,13910,40.6,82763,0.284932617,0.94741109
2150,13065,35.1,91138,0.284688441,0.91232337
2158,8372,23.7,42663,0.045903258,0.81416584
2164,999,33.6,61607,0.155145929,0.9078341
2170,108661,36.3,86435,0.236545279,0.94222982
2180,10018,29.1,70121,0.183141625,0.88227894
2185,10924,36.3,83472,0.141955006,0.9067228
2188,7682,29.2,77647,0.151536643,0.86052009
2195,3374,50.1,77826,0.247930627,0.86953094
2198,5799,43.1,61779,0.193929174,0.92459648
2220,8462,39.5,95261,0.34195355,0.95223192
2230,1303,38.6,79583,0.278350515,0.92680412
2240,6888,36.9,75378,0.197838553,0.93736215
2275,2134,48.9,61000,0.180243746,0.8710712
2282,564,41.3,76875,0.108312343,0.9395466
2290,5355,35.8,47826,0.141408287,0.87018256
4001,66054,35.6,37483,0.137825675,0.84009948
4003,125504,41.4,58421,0.26696217,0.88912947
4005,144705,31.7,67266,0.395932172,0.91451097
4007,53419,50.6,55242,0.180853477,0.8714491
4009,38453,34.1,64089,0.139520565,0.84623594
4011,9483,35.5,73756,0.166723608,0.85941237
4012,16681,57.3,46634,0.123824689,0.82612981
