county_fips,pop_total,pop_density,area_land,median_income
1001,58761,98.84851,594.4550662,68315
1003,233420,146.8177,1589.862551,71039
1005,24877,28.10935,885.0080603,39712
1007,22251,35.74633,622.4695528,50669
1009,59077,91.60778,644.8906605,57440
1011,10328,16.58277,622.8150555,36136
1013,18981,24.43365,776.8385645,44429
1015,116162,191.7212,605.8902142,54339
1017,34612,58.01986,596.5543253,48805
1019,25069,45.28981,553.5241337,46621
1021,45140,65.15244,692.8367668,62471
1023,12669,13.86895,913.4791482,43299
1025,23058,18.61888,1238.420465,47549
1027,14209,23.5263,603.9624462,48074
1029,15144,27.03776,560.1054893,51553
1031,53559,78.88084,678.9861142,62199
1033,57270,96.58432,592.9534067,56149
1035,11576,13.61435,850.2793743,39888
1037,10329,15.86857,650.9091594,52279
1039,37542,36.42836,1030.570631,48772
1041,13205,21.6879,608.8648689,48557
1043,88284,120.1569,734.7392683,58119
1045,49455,88.13731,561.1130862,52813
1047,38326,39.15859,978.7380019,37180
1049,71680,92.2431,777.0770706,47920
1051,87694,141.7813,618.5159653,73258
1053,36755,38.8774,945.4079324,41153
1055,103348,193.1357,535.1054908,52177
1057,16297,25.96371,627.6837236,45650
1059,32011,50.49381,633.9589156,47359
1061,26647,46.38418,574.4847003,47608
1063,7706,11.90993,647.0230812,32796
1065,14742,22.89165,643.9901096,35851
1067,17282,30.7568,561.8919624,58395
1069,107040,184.6071,579.8259328,55064
1071,52618,48.8101,1078.014471,46748
1073,672265,604.8049,1111.540347,63595
1075,13885,22.95625,604.8462927,49565
1077,94329,141.2079,668.0148325,56081
1079,33116,47.94664,690.6844294,54786
1081,175126,288.2523,607.5442388,59288
1083,104199,184.9456,563.4034073,80146
1085,10153,14.17848,716.085134,33125
1087,19198,31.54115,608.6652077,41206
1089,389781,486.2529,801.6013912,78058
1091,19180,19.63357,976.8983517,42975
1093,29203,39.33894,742.3432448,49743
1095,97923,173.0562,565.8450062,58272
1097,413878,336.6575,1229.374135,55352
1099,19816,19.32008,1025.668752,39965
1101,228132,290.4827,785.3547553,56707
1103,123102,212.3661,579.668922,61588
1105,8479,11.78179,719.6698425,32332
1107,18925,21.47134,881.407537,45339
1109,32997,49.09779,672.0669656,42616
1111,22179,38.20341,580.5502975,49879
1113,58849,91.78211,641.1815591,47420
1115,91719,145.2237,631.5703949,73218
1117,223916,285.0835,785.4400561,90618
1119,12196,13.49375,903.8261243,31726
1121,81105,110.0748,736.8169798,52457
1123,41251,57.5707,716.5276503,53282
1125,231558,175.3101,1320.847806,61645
1127,64978,82.14355,791.0298272,52987
1129,15434,14.28736,1080.25542,51184
1131,10441,11.75977,887.8575808,38208
1133,23655,38.58903,612.9980031,49494
2013,3407,0.4877432,6985.233735,79961
2016,5219,1.188019,4393.026216,100662
2020,290674,170.2949,1706.885833,95731
2050,18538,0.456296,40627.14073,64094
2060,854,1.771856,481.9805991,94167
2063,7000,0.7345344,9529.846779,83068
2066,2614,0.1058637,24692.13558,70606
2068,2101,0.1662046,12641.04916,87292
2070,4854,0.2647541,18333.99444,69412
2090,96299,13.1292,7334.720624,81655
2100,2079,0.8871752,2343.392751,68276
2105,2329,0.3552873,6555.258097,62344
2110,32108,11.87415,2704.025477,95711
2122,59235,3.69816,16017.4237,76272
2130,13910,2.863948,4856.93239,82763
2150,13065,1.953066,6689.480606,91138
2158,8372,0.4902482,17077.06381,42663
2164,999,0.04191872,23831.83401,61607
2170,108661,4.397937,24707.26713,86435
2180,10018,0.4361443,22969.46386,70121
2185,10924,0.1229853,88823.62965,83472
2188,7682,0.2154036,35663.28129,77647
2195,3374,1.163185,2900.655935,77826
2198,5799,1.100855,5267.725929,61779
2220,8462,2.948373,2870.057962,95261
2230,1303,3.002768,433.9329325,79583
2240,6888,0.2773945,24831.05863,75378
2275,2134,0.8349003,2555.99373,61000
2282,564,0.07398397,7623.272509,76875
2290,5355,0.03678502,145575.5636,47826
4001,66054,5.898567,11198.31346,37483
4003,125504,20.21078,6209.755338,58421
4005,144705,7.773004,18616.35406,67266
4007,53419,11.22819,4757.578231,55242
4009,38453,8.31978,4621.877043,64089
4011,9483,5.145857,1842.841836,73756
4012,16681,3.709709,4496.57919,46634
4013,4430871,481.5109,9202.015812,80675
4015,214229,16.06864,13332.11794,53592
4017,107110,10.76537,9949.494203,50335
4019,1042393,113.4431,9188.683191,64323
4021,433338,80.74615,5366.670882,73313
4023,47838,38.69629,1236.242478,51885
4025,237830,29.27883,8122.933055,62430
4027,204374,37.06565,5513.838946,56439
5001,17024,17.15886,992.1403064,58695
5003,19018,20.54908,925.4916332,44804
5005,41801,75.46245,553.9311657,47403
5007,286528,337.9933,847.7329038,85269
5009,37662,63.86389,589.7229485,52275
5011,10461,16.11449,649.1671158,43688
5013,4773,7.593058,628.6005341,60237
5015,28362,45.02422,629.9275889,56826
5017,10234,16.0665,636.9776045,36593
5019,21469,24.79182,865.9712586,48071
5021,14537,22.74164,639.2237925,44685
5023,24948,45.03581,553.9591875,52780
5025,7548,12.62396,597.9104892,48913
5027,22707,29.64109,766.0648683,47441
5029,20782,37.65421,551.9170097,50282
5031,111038,157.0191,707.1622077,55169
5033,60593,101.791,595.268636,56702
5035,47945,78.23095,612.8648627,51860
5037,16827,27.30248,616.3176169,48129
5039,6472,9.698454,667.322888,40085
5041,11285,15.22476,741.2267733,38067
5043,17309,20.88776,828.6669931,44968
5045,124611,192.5258,647.2431533,61273
5047,17160,28.17905,608.9629697,47695
5049,12183,19.71378,617.9941282,38917
5051,100021,147.6075,677.6146299,54229
5053,18022,28.52089,631.8877277,68598
5055,45954,79.59605,577.3402502,54879
5057,20037,27.55363,727.2000334,45049
5059,33129,53.87321,614.9439086,50260
5061,12779,21.75772,587.3317096,44824
5063,37910,49.63916,763.7115353,52361
5065,13748,23.69523,580.2010388,46159
5067,16784,26.48944,633.610843,41929
5069,66934,76.72877,872.3455892,46855
5071,25925,39.22148,660.9898239,42470
5073,6277,11.8552,529.4724763,40262
5075,16258,27.67188,587.5279607,43606
5077,8666,14.44798,599.8071713,33801
5079,13016,23.26506,559.4654863,50526
5081,12024,22.63321,531.2546004,58627
5083,21247,29.96266,709.1160206,51131
5085,74292,96.3018,771.449789,68078
5087,16737,20.06263,834.2375887,51514
5089,16905,28.33564,596.5984584,42891
5091,42682,68.39621,624.0404512,47613
5093,40361,44.74151,902.0929271,50012
5095,6787,11.17274,607.4609149,41786
5097,8555,10.96158,780.4529751,47103
5099,8292,13.42204,617.7896732,43421
5101,7243,8.821355,821.0757177,50699
5103,22606,30.85211,732.7214057,47348
5105,10055,18.23752,551.3359166,53980
5107,16373,23.71661,690.3600295,37458
5109,10205,16.99883,600.335285,49248
5111,22997,30.32724,758.2951828,43440
5113,19384,22.62271,856.8382433,48449
5115,63475,78.27221,810.9519581,51678
5117,8217,12.69002,647.5165012,47045
5119,398322,525.2369,758.3663986,58326
5121,18619,28.56058,651.9126544,45993
5123,23138,36.4502,634.7840005,39822
5125,123988,171.3686,723.5163344,73236
5127,9871,11.05561,892.8499993,45340
5129,7880,11.83398,665.8789523,42063
5131,128184,241.3181,531.1827422,54047
5133,15913,28.23612,563.5689679,53567
5135,17422,28.81378,604.6412447,43332
5137,12393,20.43564,606.4403696,37664
5139,38815,37.35564,1039.066609,49745
5141,15900,22.40793,709.5701015,45768
5143,247331,262.7136,941.4472283,61985
5145,77118,74.57652,1034.078737,51144
5147,6259,10.68138,585.9729265,49608
5149,20342,21.86404,930.3860002,55879
6001,1663823,2256.156,737.4592068,122488
6003,1515,2.051899,738.3403352,101125
6005,40577,68.24428,594.5846483,74853
6007,213605,130.5263,1636.489658,66085
6009,45674,44.77759,1020.019132,77526
6011,21811,18.95489,1150.679271,69619
6013,1162648,1621.78,716.8963316,120020
6015,27462,27.29274,1006.201493,61149
6017,191713,112.2546,1707.841043,99246
6019,1008280,169.2204,5958.382732,67756
6021,28657,21.80952,1313.967601,64033
6023,136132,38.15332,3568.024735,57881
6025,179578,43.00714,4175.538679,53847
6027,18829,1.846476,10197.26065,63417
6029,906883,111.4836,8134.673131,63883
6031,152515,109.6463,1390.972462,68540
6033,68024,54.19884,1255.08209,56259
6035,31873,7.018368,4541.368921,59515
6037,9936690,2447.312,4060.246024,83411
6039,157243,73.58401,2136.917811,73543
6041,260485,500.5252,520.4233286,142019
6043,17130,11.82326,1448.839504,60021
6045,91145,25.99088,3506.806648,61335
6047,282290,145.6602,1938.004099,64772
6049,8651,2.191106,3948.233743,54962
6051,13219,4.335656,3048.904146,82038
6053,437609,133.3475,3281.717753,91043
6055,137384,182.6976,751.9750176,105809
6057,102322,106.8347,957.7601379,79395
6059,3175227,4004.788,792.8577152,109361
6061,406608,288.9716,1407.086402,109375
6063,19650,7.69664,2553.062269,67885
6065,2429487,336.9963,7209.240111,84505
6067,1579211,1636.014,965.2797526,84010
6069,64753,46.63013,1388.651648,104451
6071,2180563,108.6578,20068.16664,77423
6073,3289701,781.3522,4210.266278,96974
6075,851036,18209.41,46.73604356,136689
6077,779445,559.8505,1392.237641,82837
6079,281712,85.34531,3300.849443,90158
6081,754250,1681.321,448.6055565,149907
6083,445213,162.847,2733.934718,92332
6085,1916831,1484.668,1291.084258,153792
6087,268571,603.3872,445.1055557,104409
6089,181852,48.1644,3775.651779,68347
6091,2916,3.059271,953.1683266,61108
6093,44049,7.015549,6278.767722,53898
6095,450995,548.8318,821.7362799,97037
6097,488436,310.0527,1575.332259,99266
6099,552063,368.989,1496.150203,74872
6101,99101,164.4295,602.696031,72654
6103,65484,22.20446,2949.137025,59029
6105,15889,4.997692,3179.26766,47317
6107,473446,98.14592,4823.898946,64474
6109,54993,24.76146,2220.911108,70432
6111,842009,457.421,1840.774848,102141
6113,217141,214.3568,1012.98849,85097
6115,81705,129.2789,632.0059429,66693
8001,520149,445.8143,1166.739145,86297
8003,16460,22.77742,722.6454362,52271
8005,654453,820.2358,797.8839871,92292
8007,13509,10.00601,1350.088183,66813
8009,3496,1.368301,2554.992656,42115
8011,5561,3.675851,1512.846818,45776
8013,328658,452.4577,726.3838937,99770
8014,73946,2242.964,32.96798595,117541
8015,19564,19.30515,1013.40847,65703
8017,1726,0.9706029,1778.276162,65577
8019,9403,23.80067,395.0728915,87169
8021,7553,5.866735,1287.428285,44093
8023,3534,2.878803,1227.593493,34578
8025,5782,7.342898,787.4275248,40685
8027,4885,6.613633,738.6257913,66250
8029,31173,27.29385,1142.125372,56349
8031,710800,4643.502,153.0741177,85853
8033,2329,2.182407,1067.170399,64708
8035,360206,428.3639,840.8877879,139010
8037,55650,33.0371,1684.470013,98887
8039,26457,14.30042,1850.08578,124360
8041,730323,343.4529,2126.414053,82748
8043,49107,32.01583,1533.834764,56165
8045,61683,20.92775,2947.426462,82772
8047,5856,39.03412,150.0226009,95902
8049,15724,8.515813,1846.4474,79367
8051,17018,5.253863,3239.14011,76538
8053,911,0.8154089,1117.230888,58712
8055,6896,4.334291,1591.032941,49631
8057,1440,0.892345,1613.725716,38686
8059,580519,759.461,764.3829207,103167
8061,1347,0.7619603,1767.808777,45250
8063,7039,3.257557,2160.821601,58992
8065,7403,19.64082,376.9190714,78942
8067,55983,33.13227,1689.681762,81936
8069,359363,138.443,2595.746661,87199
8071,14422,3.021619,4772.938302,48965
8073,5583,2.165859,2577.729911,59167
8075,21302,11.58599,1838.599135,54864
8077,156131,46.9042,3328.721152,68077
8079,794,0.9066406,875.7604869,58929
8081,13232,2.789652,4743.243351,63983
8083,26070,12.84648,2029.349276,61377
8085,42823,19.10934,2240.946216,62817
8087,29045,22.68281,1280.485315,70471
8089,18580,14.7233,1261.945689,47500
8091,4936,9.129389,540.6714904,78750
8093,17597,8.022301,2193.510481,85019
8095,4493,6.531208,687.9278699,58474
8097,17325,17.84792,970.7013438,96123
8099,11968,7.304651,1638.408085,49422
8101,168135,70.44985,2386.59132,59436
8103,6511,2.021441,3220.97055,69882
8105,11442,12.54665,911.9563859,57591
8107,24944,10.56045,2362.019753,95144
8109,6454,2.036884,3168.565822,51946
8111,690,1.780574,387.5155684,67344
8113,8082,6.281062,1286.725122,72829
8115,2391,4.362814,548.0407662,45855
8117,30955,50.88535,608.3284031,100611
8119,24758,44.4376,557.1408671,69655
8121,4817,1.912963,2518.083809,59087
8123,331466,83.17941,3984.952814,89182
8125,9938,4.203183,2364.398686,60118
9110,977165,951.1697,1027.329795,88190
