source,outcome_id,outcome,native_unit,higher_value_interpretation,cesi_measure,model,beta,standard_error,degrees_freedom,t,p,n,n_states,icc,singular,p_holm
County Health Rankings & Roadmaps 2025,CHR_ALCOHOL_DRIVING_DEATHS,Alcohol-Impaired Driving Deaths,Proportion of driving deaths involving alcohol impairment,Worse health / greater alcohol-related mortality burden,Meaning CESI,MLM-M1,0.0056426808538598576,0.03219030858506703,1474.5778368320828,0.17529129423995263,0.8608748181940922,1540,39,0.24264101897855925,FALSE,1
CDC PLACES 2024,TEETHLOST,All Teeth Lost,Age-adjusted percentage of adults,Worse health / higher risk prevalence,Meaning CESI,MLM-M1,0.19556076199753716,0.024640681503113514,1537.4756030570445,7.93649972598472,3.975597117738055e-15,1540,39,0.3916780719086186,FALSE,9.143873370797525e-14
CDC PLACES 2024,DISABILITY,Any Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence,Meaning CESI,MLM-M1,0.1235735242807105,0.019459878392356977,1530.0102761935204,6.3501693992725565,2.828709138154677e-10,1540,39,0.635620013072665,FALSE,5.374547362493886e-9
CDC PLACES 2024,ARTHRITIS,Arthritis,Age-adjusted percentage of adults,Worse health / higher risk prevalence,Meaning CESI,MLM-M1,0.17482597444403825,0.01679427947943595,1521.5703799518506,10.409852632148164,1.4603027168245112e-24,1540,39,0.7374172807575702,FALSE,4.9650292372033384e-23
CDC PLACES 2024,BINGE,Binge Drinking,Age-adjusted percentage of adults,Worse health / higher risk prevalence,Meaning CESI,MLM-M1,-0.07971721897195189,0.01294736843644637,1510.7927945253928,-6.157020970188106,9.481429211632045e-10,1540,39,0.8585449258062656,FALSE,1.6118429659774477e-8
CDC PLACES 2024,COPD,COPD,Age-adjusted percentage of adults,Worse health / higher risk prevalence,Meaning CESI,MLM-M1,0.17991005608997243,0.020775181085707604,1531.8492409634525,8.659855013910926,1.1766693589216232e-17,1540,39,0.6147623674044197,FALSE,3.0593403331962203e-16
CDC PLACES 2024,CANCER,Cancer (non-skin) or Melanoma,Age-adjusted percentage of adults,Worse health / higher risk prevalence,Meaning CESI,MLM-M1,-0.05589656180614642,0.010455628950425472,1529.5372420196559,-5.3460735907113275,1.0349321928628863e-7,1540,39,0.643573228719219,FALSE,1.2419186314354635e-6
County Health Rankings & Roadmaps 2025,CHR_CHILD_MORTALITY,Child Mortality,"Deaths under age 20 per 100,000",Worse health / higher mortality,Meaning CESI,MLM-M1,0.3378046236126297,0.026695589547821225,1244.4566721549688,12.653948810813949,1.3029491058854084e-34,1387,39,0.18733440652542585,FALSE,5.602681155307256e-33
CDC PLACES 2024,COGNITION,Cognitive Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence,Meaning CESI,MLM-M1,0.11467394098890238,0.021749036775433387,1534.349013857006,5.2725986062257375,1.5368152561255595e-7,1540,39,0.5802083287930493,FALSE,1.6904967817381153e-6
CDC PLACES 2024,CHD,Coronary Heart Disease,Age-adjusted percentage of adults,Worse health / higher risk prevalence,Meaning CESI,MLM-M1,0.07902128829487501,0.021213823383666175,1531.5651393260823,3.724990392619105,2.024107566280422e-4,1540,39,0.6168255118549494,FALSE,0.0016192860530243377
