outcome_id,outcome,outcome_n,practice_n,meaning_n,practice_m2_n,meaning_m2_n
ARTHRITIS,Arthritis,3144,3100,2031,2116,1540
BINGE,Binge Drinking,3144,3100,2031,2116,1540
BPHIGH,High Blood Pressure,3077,3033,1978,2052,1487
CANCER,Cancer (non-skin) or Melanoma,3144,3100,2031,2116,1540
CASTHMA,Current Asthma,3144,3100,2031,2116,1540
CHD,Coronary Heart Disease,3144,3100,2031,2116,1540
CHR_ALCOHOL_DRIVING_DEATHS,Alcohol-Impaired Driving Deaths,3168,3083,2037,2108,1540
CHR_CHILD_MORTALITY,Child Mortality,2109,2039,1812,1548,1387
CHR_FIREARM_FATALITIES,Firearm Fatalities,2357,2282,1885,1707,1442
CHR_HIV_PREVALENCE,HIV Prevalence,2735,2673,1969,1907,1499
CHR_HOMICIDES,Homicide Mortality,1476,1409,1330,1064,1018
CHR_INFANT_MORTALITY,Infant Mortality,1231,1165,1163,900,893
CHR_INJURY_DEATHS,Injury Deaths,3094,3012,2039,2087,1540
CHR_LIFEEXP,Life Expectancy,3119,3036,2039,2090,1540
CHR_LOW_BIRTH_WEIGHT,Low Birth Weight,3094,3013,2039,2084,1540
CHR_MVC_DEATHS,Motor Vehicle Crash Deaths,2755,2685,1996,1952,1524
CHR_OVERDOSE_DEATHS,Drug Overdose Deaths,2061,1992,1743,1489,1322
CHR_PREMATURE_AAM,Premature Age-Adjusted Mortality,3139,3053,2039,2096,1540
CHR_PREMATURE_DEATH,Premature Death,3139,3053,2039,2096,1540
CHR_STI,Sexually Transmitted Infections,3074,2995,2030,2083,1539
CHR_SUICIDES,Suicide Mortality,2499,2424,1964,1805,1490
CHR_TEEN_BIRTHS,Teen Births,2960,2884,2035,2050,1539
COGNITION,Cognitive Disability,3144,3100,2031,2116,1540
COPD,COPD,3144,3100,2031,2116,1540
CSMOKING,Current Cigarette Smoking,3144,3100,2031,2116,1540
DEPRESSION,Depression,3144,3100,2031,2116,1540
DIABETES,Diabetes,3144,3100,2031,2116,1540
DISABILITY,Any Disability,3144,3100,2031,2116,1540
EMOTIONSPT,Lack of Social/Emotional Support,2417,2375,1567,2116,1540
GHLTH,General Health,3144,3100,2031,2116,1540
HEARING,Hearing Disability,3144,3100,2031,2116,1540
HIGHCHOL,High Cholesterol,3077,3033,1978,2052,1487
INDEPLIVE,Independent Living Disability,3144,3100,2031,2116,1540
ISOLATION,Social Isolation,2417,2375,1567,2116,1540
LPA,Physical Inactivity,3144,3100,2031,2116,1540
MHLTH,Frequent Mental Distress,3144,3100,2031,2116,1540
MOBILITY,Mobility Disability,3144,3100,2031,2116,1540
OBESITY,Obesity,3144,3100,2031,2116,1540
PHLTH,Frequent Physical Distress,3144,3100,2031,2116,1540
SELFCARE,Self-care Disability,3144,3100,2031,2116,1540
SLEEP,Short Sleep Duration,3144,3100,2031,2116,1540
STROKE,Stroke,3144,3100,2031,2116,1540
TEETHLOST,All Teeth Lost,3144,3100,2031,2116,1540
VISION,Vision Disability,3144,3100,2031,2116,1540
