outcome_id,cesi_measure,beta,standard_error,p,n,n_states,p_holm,source,outcome,native_unit,higher_value_interpretation
COGNITION,practice_cesi,0.056417960326054076,0.009530912888274214,3.760567405467907e-9,2116,38,1.2409872438044094e-7,CDC PLACES 2024,Cognitive Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
COGNITION,meaning_cesi,-0.018784036806254827,0.010539839006019602,0.07491658893410719,1540,39,1,CDC PLACES 2024,Cognitive Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DISABILITY,practice_cesi,0.05009295124082107,0.008304549061380591,1.9087034778428305e-9,2116,38,6.680462172449907e-8,CDC PLACES 2024,Any Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DISABILITY,meaning_cesi,-0.018199774005148515,0.00902259219128284,0.04385742952823648,1540,39,0.8046140232942485,CDC PLACES 2024,Any Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
HEARING,practice_cesi,0.05050696327815948,0.00966347465506465,1.89786663878388e-7,2116,38,5.883386580230027e-6,CDC PLACES 2024,Hearing Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
HEARING,meaning_cesi,-0.05218240285207412,0.01010058029513168,2.7058128773969877e-7,1540,39,1.0011507646368855e-5,CDC PLACES 2024,Hearing Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
INDEPLIVE,practice_cesi,0.07228312676775953,0.009541261870874446,5.30015881804708e-14,2116,38,2.067061939038361e-12,CDC PLACES 2024,Independent Living Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
INDEPLIVE,meaning_cesi,0.03823663659185015,0.010446729850391091,2.6058519376955474e-4,1540,39,0.008599311394395306,CDC PLACES 2024,Independent Living Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
MOBILITY,practice_cesi,0.06395341904331853,0.008006243853479441,2.236269668684123e-15,2116,38,8.945078674736491e-14,CDC PLACES 2024,Mobility Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
MOBILITY,meaning_cesi,0.02813502347686506,0.008780170151468583,0.0013815767595458444,1540,39,0.0373025725077378,CDC PLACES 2024,Mobility Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
SELFCARE,practice_cesi,0.09186617162075363,0.008881308904356072,1.714606517224142e-24,2116,38,7.37280802406381e-23,CDC PLACES 2024,Self-care Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
SELFCARE,meaning_cesi,0.07319969859300134,0.009693696319475713,7.348491030964313e-14,1540,39,3.0863662330050114e-12,CDC PLACES 2024,Self-care Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
VISION,practice_cesi,0.09071553816914103,0.007873958868641158,8.057214827504808e-30,2116,38,3.5451745241021155e-28,CDC PLACES 2024,Vision Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
VISION,meaning_cesi,0.024072559248484365,0.008752250958555037,0.006021240388611407,1540,39,0.13246728854945095,CDC PLACES 2024,Vision Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
ARTHRITIS,practice_cesi,0.045446074460397494,0.008195993481329765,3.3131692570723186e-8,2116,38,1.060214162263142e-6,CDC PLACES 2024,Arthritis,Age-adjusted percentage of adults,Worse health / higher risk prevalence
ARTHRITIS,meaning_cesi,0.03368107412609232,0.009216610991419504,2.6661280736702583e-4,1540,39,0.008599311394395306,CDC PLACES 2024,Arthritis,Age-adjusted percentage of adults,Worse health / higher risk prevalence
BPHIGH,practice_cesi,0.022257913749521015,0.007526346231588608,0.003139058343917365,2052,37,0.06278116687834731,CDC PLACES 2024,High Blood Pressure,Age-adjusted percentage of adults,Worse health / higher risk prevalence
BPHIGH,meaning_cesi,0.06662995774016896,0.008153953038011547,6.545531513448397e-16,1487,38,2.8145785507828107e-14,CDC PLACES 2024,High Blood Pressure,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CANCER,practice_cesi,0.013834672462934391,0.006757588735950403,0.0407550434176947,2116,38,0.48906052101233644,CDC PLACES 2024,Cancer (non-skin) or Melanoma,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CANCER,meaning_cesi,-0.006112404435126558,0.0070823913288390675,0.3882509320405273,1540,39,1,CDC PLACES 2024,Cancer (non-skin) or Melanoma,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CASTHMA,practice_cesi,0.05603282552558744,0.011044663754754788,4.255035749488485e-7,2116,38,1.1914100098567759e-5,CDC PLACES 2024,Current Asthma,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CASTHMA,meaning_cesi,0.034856130057512126,0.01255904571327959,0.005581747745744685,1540,39,0.1319982946182853,CDC PLACES 2024,Current Asthma,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CHD,practice_cesi,0.05709964923078916,0.00947513468235284,1.9747794824317822e-9,2116,38,6.714250240268059e-8,CDC PLACES 2024,Coronary Heart Disease,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CHD,meaning_cesi,0.011341133967106598,0.010273012146368391,0.2697788271167316,1540,39,1,CDC PLACES 2024,Coronary Heart Disease,Age-adjusted percentage of adults,Worse health / higher risk prevalence
COPD,practice_cesi,0.0327277670319225,0.009359142029441027,4.8048249890342634e-4,2116,38,0.01057061497587538,CDC PLACES 2024,COPD,Age-adjusted percentage of adults,Worse health / higher risk prevalence
COPD,meaning_cesi,0.04090109912056053,0.010477578139360259,9.887420076115602e-5,1540,39,0.0033617228258793048,CDC PLACES 2024,COPD,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DEPRESSION,practice_cesi,0.04689528881205063,0.007203079587309457,9.358675664512692e-11,2116,38,3.462709995869696e-9,CDC PLACES 2024,Depression,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DEPRESSION,meaning_cesi,-0.023286813932389662,0.008375921052203129,0.005499928942428554,1540,39,0.1319982946182853,CDC PLACES 2024,Depression,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DIABETES,practice_cesi,0.054433499116984536,0.0062487547709740325,6.005294972859123e-18,2116,38,2.5222238886008317e-16,CDC PLACES 2024,Diabetes,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DIABETES,meaning_cesi,0.02442444287402087,0.006957598472895517,4.6048786171226777e-4,1540,39,0.013814635851368034,CDC PLACES 2024,Diabetes,Age-adjusted percentage of adults,Worse health / higher risk prevalence
HIGHCHOL,practice_cesi,-0.023978034147745783,0.010506202683732592,0.022576267206735553,2052,37,0.3386440081010333,CDC PLACES 2024,High Cholesterol,Age-adjusted percentage of adults,Worse health / higher risk prevalence
HIGHCHOL,meaning_cesi,-0.005094647453705772,0.0133710722504187,0.7032438054583237,1487,38,1,CDC PLACES 2024,High Cholesterol,Age-adjusted percentage of adults,Worse health / higher risk prevalence
OBESITY,practice_cesi,0.017770064819044074,0.011748153246520635,0.13053629429119482,2116,38,1,CDC PLACES 2024,Obesity,Age-adjusted percentage of adults,Worse health / higher risk prevalence
OBESITY,meaning_cesi,-0.033134728308170776,0.012996608978986225,0.010885921819835744,1540,39,0.22860435821655062,CDC PLACES 2024,Obesity,Age-adjusted percentage of adults,Worse health / higher risk prevalence
STROKE,practice_cesi,0.05978300216209716,0.009875202103949265,1.668685869706005e-9,2116,38,6.007269130941619e-8,CDC PLACES 2024,Stroke,Age-adjusted percentage of adults,Worse health / higher risk prevalence
STROKE,meaning_cesi,0.10052873766161863,0.010622352961943794,1.0702033756650243e-20,1540,39,4.708894852926107e-19,CDC PLACES 2024,Stroke,Age-adjusted percentage of adults,Worse health / higher risk prevalence
TEETHLOST,practice_cesi,0.03125183579360262,0.01266344819341249,0.013670367883062869,2116,38,0.2187258861290059,CDC PLACES 2024,All Teeth Lost,Age-adjusted percentage of adults,Worse health / higher risk prevalence
TEETHLOST,meaning_cesi,0.09425649562443804,0.014182450448735954,4.1689449084393023e-11,1540,39,1.667577963375721e-9,CDC PLACES 2024,All Teeth Lost,Age-adjusted percentage of adults,Worse health / higher risk prevalence
BINGE,practice_cesi,0.019509066930713834,0.006833519922984525,0.004347537820630595,2116,38,0.0826032185919813,CDC PLACES 2024,Binge Drinking,Age-adjusted percentage of adults,Worse health / higher risk prevalence
BINGE,meaning_cesi,-0.03471776951335942,0.008537973216352931,5.0241895681565844e-5,1540,39,0.0017584663488548046,CDC PLACES 2024,Binge Drinking,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CSMOKING,practice_cesi,0.030228630429186946,0.010731551198306922,0.0048956402229811315,2116,38,0.08812152401366037,CDC PLACES 2024,Current Cigarette Smoking,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CSMOKING,meaning_cesi,0.018150462289573295,0.011755966500824841,0.12281165914841799,1540,39,1,CDC PLACES 2024,Current Cigarette Smoking,Age-adjusted percentage of adults,Worse health / higher risk prevalence
LPA,practice_cesi,0.04041370991433833,0.008976765680504055,7.098842748177815e-6,2116,38,1.7747106870444538e-4,CDC PLACES 2024,Physical Inactivity,Age-adjusted percentage of adults,Worse health / higher risk prevalence
LPA,meaning_cesi,-0.013700464728763878,0.009751842491401267,0.1602528253424519,1540,39,1,CDC PLACES 2024,Physical Inactivity,Age-adjusted percentage of adults,Worse health / higher risk prevalence
SLEEP,practice_cesi,-0.01129525146802915,0.011143694460037165,0.31089014778918556,2116,38,1,CDC PLACES 2024,Short Sleep Duration,Age-adjusted percentage of adults,Worse health / higher risk prevalence
SLEEP,meaning_cesi,-0.015083942519138464,0.013414226740473495,0.260989375565411,1540,39,1,CDC PLACES 2024,Short Sleep Duration,Age-adjusted percentage of adults,Worse health / higher risk prevalence
GHLTH,practice_cesi,0.06848002970339155,0.008232123708326995,1.5748417681732745e-16,2116,38,6.4568512495104256e-15,CDC PLACES 2024,General Health,Age-adjusted percentage of adults,Worse health / higher risk prevalence
GHLTH,meaning_cesi,0.004948911167614277,0.009054898309102423,0.5847710924469323,1540,39,1,CDC PLACES 2024,General Health,Age-adjusted percentage of adults,Worse health / higher risk prevalence
MHLTH,practice_cesi,0.050807397270101244,0.009814515671663812,2.4727524879025394e-7,2116,38,7.170982214917364e-6,CDC PLACES 2024,Frequent Mental Distress,Age-adjusted percentage of adults,Worse health / higher risk prevalence
