outcome_id,cesi_measure,r,p,n,p_holm,source,outcome,native_unit,higher_value_interpretation
COGNITION,practice_cesi,0.2504905749166976,1.454806581682801e-45,3100,4.073458428711842e-44,CDC PLACES 2024,Cognitive Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
COGNITION,meaning_cesi,0.45487232400890243,2.8368694765021654e-104,2031,5.673738953004331e-103,CDC PLACES 2024,Cognitive Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DISABILITY,practice_cesi,0.28241394302134015,6.1435536273488045e-58,3100,1.9659371607516174e-56,CDC PLACES 2024,Any Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DISABILITY,meaning_cesi,0.5041897589758046,2.0706639464541794e-131,2031,4.613981900548614e-130,CDC PLACES 2024,Any Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
HEARING,practice_cesi,0.07940779164242659,9.579810665399798e-6,3100,9.579810665399798e-5,CDC PLACES 2024,Hearing Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
HEARING,meaning_cesi,0.2484851711630525,5.8796414968648784e-30,2031,4.115749047805415e-29,CDC PLACES 2024,Hearing Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
INDEPLIVE,practice_cesi,0.2634826638829626,2.1429234987059606e-50,3100,6.428770496117882e-49,CDC PLACES 2024,Independent Living Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
INDEPLIVE,meaning_cesi,0.5499131001680151,6.973248972471794e-161,2031,2.231439671190974e-159,CDC PLACES 2024,Independent Living Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
MOBILITY,practice_cesi,0.31291189759219223,2.181885815030857e-71,3100,8.072977515614171e-70,CDC PLACES 2024,Mobility Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
MOBILITY,meaning_cesi,0.5720816183578908,6.760887464019875e-177,2031,2.433919487047155e-175,CDC PLACES 2024,Mobility Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
SELFCARE,practice_cesi,0.2701500214547123,5.536932370078679e-53,3100,1.7164490347243906e-51,CDC PLACES 2024,Self-care Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
SELFCARE,meaning_cesi,0.595672590229759,2.4554697850184467e-195,2031,9.576332161571943e-194,CDC PLACES 2024,Self-care Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
VISION,practice_cesi,0.34165155470601394,1.3296523018188492e-85,3100,5.318609207275397e-84,CDC PLACES 2024,Vision Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
VISION,meaning_cesi,0.5414047203835028,4.742364919679506e-155,2031,1.4227094759038516e-153,CDC PLACES 2024,Vision Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
ARTHRITIS,practice_cesi,0.05454469715971736,0.0023818792560633584,3100,0.011477871624107358,CDC PLACES 2024,Arthritis,Age-adjusted percentage of adults,Worse health / higher risk prevalence
ARTHRITIS,meaning_cesi,0.41977460451758886,1.6584648285141109e-87,2031,1.990157794216933e-86,CDC PLACES 2024,Arthritis,Age-adjusted percentage of adults,Worse health / higher risk prevalence
BPHIGH,practice_cesi,0.2887266836754664,2.5652421195105665e-59,3033,8.46529899438487e-58,CDC PLACES 2024,High Blood Pressure,Age-adjusted percentage of adults,Worse health / higher risk prevalence
BPHIGH,meaning_cesi,0.6964670885830913,4.1789761937274984e-287,1978,1.8387495252400994e-285,CDC PLACES 2024,High Blood Pressure,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CANCER,practice_cesi,-0.34435903500391263,5.060932487972821e-87,3100,2.0749823200688567e-85,CDC PLACES 2024,Cancer (non-skin) or Melanoma,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CANCER,meaning_cesi,-0.4404247362015155,3.9321526995286715e-97,2031,6.684659589198742e-96,CDC PLACES 2024,Cancer (non-skin) or Melanoma,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CASTHMA,practice_cesi,-0.06008087185356404,8.173960872720223e-4,3100,0.0049043765236321335,CDC PLACES 2024,Current Asthma,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CASTHMA,meaning_cesi,0.18916499058516112,8.146311560870336e-18,2031,4.073155780435168e-17,CDC PLACES 2024,Current Asthma,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CHD,practice_cesi,0.18287674781633245,1.0161763233874023e-24,3100,2.0323526467748046e-23,CDC PLACES 2024,Coronary Heart Disease,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CHD,meaning_cesi,0.4206156021971013,6.929085730882326e-88,2031,9.007811450147024e-87,CDC PLACES 2024,Coronary Heart Disease,Age-adjusted percentage of adults,Worse health / higher risk prevalence
COPD,practice_cesi,0.13183322435257222,1.7141350441856068e-13,3100,2.5712025662784104e-12,CDC PLACES 2024,COPD,Age-adjusted percentage of adults,Worse health / higher risk prevalence
COPD,meaning_cesi,0.42155476162366834,2.6069170002789364e-88,2031,3.649683800390511e-87,CDC PLACES 2024,COPD,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DEPRESSION,practice_cesi,0.025888900649092522,0.14955836143821288,3100,0.44867508431463865,CDC PLACES 2024,Depression,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DEPRESSION,meaning_cesi,-0.00938330420270499,0.6725705272608702,2031,1,CDC PLACES 2024,Depression,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DIABETES,practice_cesi,0.40321369879646096,1.5427410691272907e-121,3100,6.788060704160079e-120,CDC PLACES 2024,Diabetes,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DIABETES,meaning_cesi,0.5981132567667781,2.4781449240221002e-197,2031,9.9125796960884e-196,CDC PLACES 2024,Diabetes,Age-adjusted percentage of adults,Worse health / higher risk prevalence
HIGHCHOL,practice_cesi,0.3823210671614723,3.7298059249458827e-106,3033,1.5665184884772708e-104,CDC PLACES 2024,High Cholesterol,Age-adjusted percentage of adults,Worse health / higher risk prevalence
HIGHCHOL,meaning_cesi,0.3799247894600268,6.098044193927191e-69,1978,6.70784861331991e-68,CDC PLACES 2024,High Cholesterol,Age-adjusted percentage of adults,Worse health / higher risk prevalence
OBESITY,practice_cesi,0.17929066305263908,8.29352728860074e-24,3100,1.4928349119481332e-22,CDC PLACES 2024,Obesity,Age-adjusted percentage of adults,Worse health / higher risk prevalence
OBESITY,meaning_cesi,0.5200352986070387,4.0646476769069143e-141,2031,1.0161619192267286e-139,CDC PLACES 2024,Obesity,Age-adjusted percentage of adults,Worse health / higher risk prevalence
STROKE,practice_cesi,0.2323599710224998,2.8147600306714225e-39,3100,7.036900076678556e-38,CDC PLACES 2024,Stroke,Age-adjusted percentage of adults,Worse health / higher risk prevalence
STROKE,meaning_cesi,0.6463485155244189,1.344786600413968e-240,2031,5.782582381780062e-239,CDC PLACES 2024,Stroke,Age-adjusted percentage of adults,Worse health / higher risk prevalence
TEETHLOST,practice_cesi,0.18845447870651402,3.556845593966783e-26,3100,7.825060306726922e-25,CDC PLACES 2024,All Teeth Lost,Age-adjusted percentage of adults,Worse health / higher risk prevalence
TEETHLOST,meaning_cesi,0.5076968461480957,1.6277892703279852e-133,2031,3.906694248787165e-132,CDC PLACES 2024,All Teeth Lost,Age-adjusted percentage of adults,Worse health / higher risk prevalence
BINGE,practice_cesi,-0.3836012901557072,3.1149878785406198e-109,3100,1.3394447877724665e-107,CDC PLACES 2024,Binge Drinking,Age-adjusted percentage of adults,Worse health / higher risk prevalence
BINGE,meaning_cesi,-0.4494134528653137,1.5556133453583883e-101,2031,2.9556653561809376e-100,CDC PLACES 2024,Binge Drinking,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CSMOKING,practice_cesi,0.05474377414958716,0.0022955743248214717,3100,0.011477871624107358,CDC PLACES 2024,Current Cigarette Smoking,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CSMOKING,meaning_cesi,0.42318642040730653,4.734965657715161e-89,2031,7.102448486572741e-88,CDC PLACES 2024,Current Cigarette Smoking,Age-adjusted percentage of adults,Worse health / higher risk prevalence
LPA,practice_cesi,0.29432975395133587,5.344009528537843e-63,3100,1.8704033349882453e-61,CDC PLACES 2024,Physical Inactivity,Age-adjusted percentage of adults,Worse health / higher risk prevalence
