outcome_id,cesi_measure,beta,standard_error,p,n,n_states,p_holm,source,outcome,native_unit,higher_value_interpretation
COGNITION,practice_cesi,0.09795385748313942,0.01179900704019046,1.8083245083464834e-16,2116,38,7.775795385889879e-15,CDC PLACES 2024,Cognitive Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
COGNITION,meaning_cesi,-0.06799755206873649,0.014544454838955142,3.195336815679531e-6,1540,39,7.668808357630874e-5,CDC PLACES 2024,Cognitive Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DISABILITY,practice_cesi,0.05757961214546831,0.009871241618543063,6.288086691051352e-9,2116,38,2.200830341867973e-7,CDC PLACES 2024,Any Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DISABILITY,meaning_cesi,-0.04161686023089223,0.012048215067170576,5.670957029261631e-4,1540,39,0.010207722652670937,CDC PLACES 2024,Any Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
HEARING,practice_cesi,0.07707886274374881,0.012281860747428902,4.214245580290304e-10,2116,38,1.5171284089045095e-8,CDC PLACES 2024,Hearing Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
HEARING,meaning_cesi,-0.1805085805491993,0.014400100553938448,2.2591212296144957e-34,1540,39,9.940133410303781e-33,CDC PLACES 2024,Hearing Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
INDEPLIVE,practice_cesi,0.060280058762545975,0.011003880663097973,4.8133166510129105e-8,2116,38,1.5883944948342604e-6,CDC PLACES 2024,Independent Living Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
INDEPLIVE,meaning_cesi,-0.028069245479680673,0.013420980879442115,0.036652840468246274,1540,39,0.3298755642142165,CDC PLACES 2024,Independent Living Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
MOBILITY,practice_cesi,0.03957402405545854,0.00926345333090192,2.023052324661979e-5,2116,38,4.8553255791887494e-4,CDC PLACES 2024,Mobility Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
MOBILITY,meaning_cesi,-0.02808329426304639,0.011376568011628571,0.01367609184749598,1540,39,0.17778919401744772,CDC PLACES 2024,Mobility Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
SELFCARE,practice_cesi,0.010226569194785868,0.0099958937604299,0.30639978162414316,2116,38,1,CDC PLACES 2024,Self-care Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
SELFCARE,meaning_cesi,-0.03662653679355405,0.011964088455368536,0.0022463164138033305,1540,39,0.03818737903465662,CDC PLACES 2024,Self-care Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
VISION,practice_cesi,0.045340009461895384,0.009672409423285266,2.9455394851001117e-6,2116,38,7.952956609770302e-5,CDC PLACES 2024,Vision Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
VISION,meaning_cesi,-0.1012637457835392,0.011662076280049572,9.82609035583118e-18,1540,39,3.83217523877416e-16,CDC PLACES 2024,Vision Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
ARTHRITIS,practice_cesi,-0.01053093548616492,0.009516010022616662,0.2685708013236518,2116,38,1,CDC PLACES 2024,Arthritis,Age-adjusted percentage of adults,Worse health / higher risk prevalence
ARTHRITIS,meaning_cesi,0.06087377747013026,0.011706101372609544,2.2631118279560144e-7,1540,39,6.110401935481239e-6,CDC PLACES 2024,Arthritis,Age-adjusted percentage of adults,Worse health / higher risk prevalence
BPHIGH,practice_cesi,-0.04452041241893579,0.008945883943241152,7.01731767234501e-7,2052,37,2.105195301703503e-5,CDC PLACES 2024,High Blood Pressure,Age-adjusted percentage of adults,Worse health / higher risk prevalence
BPHIGH,meaning_cesi,0.12164422776854933,0.010708886650637269,1.0337956906811489e-28,1487,38,4.4453214699289405e-27,CDC PLACES 2024,High Blood Pressure,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CANCER,practice_cesi,-0.012685488617887864,0.009342439096192437,0.17466230522734194,2116,38,1,CDC PLACES 2024,Cancer (non-skin) or Melanoma,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CANCER,meaning_cesi,-0.023164360102826666,0.010398274203227288,0.02604590396371762,1540,39,0.2604590396371762,CDC PLACES 2024,Cancer (non-skin) or Melanoma,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CASTHMA,practice_cesi,0.019677768920001962,0.013431960610814638,0.1430725270021677,2116,38,1,CDC PLACES 2024,Current Asthma,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CASTHMA,meaning_cesi,0.11125016075403144,0.016105233822160402,7.231952900919892e-12,1540,39,2.3865444573035643e-10,CDC PLACES 2024,Current Asthma,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CHD,practice_cesi,0.03788208223399321,0.011445398220114627,9.493182933626261e-4,2116,38,0.01993568416061515,CDC PLACES 2024,Coronary Heart Disease,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CHD,meaning_cesi,-0.09639751105598732,0.013785044856344528,4.0073900345802556e-12,1540,39,1.362512611757287e-10,CDC PLACES 2024,Coronary Heart Disease,Age-adjusted percentage of adults,Worse health / higher risk prevalence
COPD,practice_cesi,0.05318685957268897,0.01120667168787653,2.2141344394329247e-6,2116,38,6.420989874355482e-5,CDC PLACES 2024,COPD,Age-adjusted percentage of adults,Worse health / higher risk prevalence
COPD,meaning_cesi,0.015023819567281192,0.014087968477635946,0.28639768172026503,1540,39,1,CDC PLACES 2024,COPD,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DEPRESSION,practice_cesi,0.0251415513044503,0.009353629262516013,0.007247636489538537,2116,38,0.12320982032215513,CDC PLACES 2024,Depression,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DEPRESSION,meaning_cesi,-0.04598278265140665,0.011471789559174144,6.413311358042548e-5,1540,39,0.001218529158028084,CDC PLACES 2024,Depression,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DIABETES,practice_cesi,0.0011154725617447089,0.007403165528102898,0.8802465961762658,2116,38,1,CDC PLACES 2024,Diabetes,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DIABETES,meaning_cesi,-0.037336431205788057,0.009082092609221281,4.151579361067879e-5,1540,39,8.718316658242547e-4,CDC PLACES 2024,Diabetes,Age-adjusted percentage of adults,Worse health / higher risk prevalence
HIGHCHOL,practice_cesi,0.056260050255349824,0.01445774436074764,1.0291014271263002e-4,2052,37,0.0023669332823904902,CDC PLACES 2024,High Cholesterol,Age-adjusted percentage of adults,Worse health / higher risk prevalence
HIGHCHOL,meaning_cesi,-0.05234967102709544,0.019764279631131372,0.008167111407761754,1487,38,0.12250667111642631,CDC PLACES 2024,High Cholesterol,Age-adjusted percentage of adults,Worse health / higher risk prevalence
OBESITY,practice_cesi,0.03319977771885005,0.014983685397188645,0.02681726924581702,2116,38,0.4022590386872553,CDC PLACES 2024,Obesity,Age-adjusted percentage of adults,Worse health / higher risk prevalence
OBESITY,meaning_cesi,0.0832649904159853,0.018172031190206727,4.980373411607472e-6,1540,39,1.1454858846697185e-4,CDC PLACES 2024,Obesity,Age-adjusted percentage of adults,Worse health / higher risk prevalence
STROKE,practice_cesi,-0.006335448292833535,0.01116925825409754,0.5706236509817126,2116,38,1,CDC PLACES 2024,Stroke,Age-adjusted percentage of adults,Worse health / higher risk prevalence
