outcome_id,cesi_measure,beta,standard_error,p,n,n_states,p_holm,source,outcome,native_unit,higher_value_interpretation
COGNITION,practice_cesi,0.0332378848052135,0.014789898769886442,0.02476048312687373,1533,38,0.37140724690310595,CDC PLACES 2024,Cognitive Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
COGNITION,meaning_cesi,-0.06642520414774389,0.015586066366217094,2.1515299419145226e-5,1533,38,5.593977848977759e-4,CDC PLACES 2024,Cognitive Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DISABILITY,practice_cesi,-0.007175618879164801,0.012681601789089178,0.5715933930085868,1533,38,1,CDC PLACES 2024,Any Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DISABILITY,meaning_cesi,-0.04312190368136718,0.013358833881760747,0.00127332404286934,1533,38,0.02419315681451746,CDC PLACES 2024,Any Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
HEARING,practice_cesi,0.03182229990008499,0.014280036281873678,0.025996787046823688,1533,38,0.37140724690310595,CDC PLACES 2024,Hearing Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
HEARING,meaning_cesi,-0.18144386147893643,0.015039800487406288,4.571771430278602e-32,1533,38,2.011579429322585e-30,CDC PLACES 2024,Hearing Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
INDEPLIVE,practice_cesi,-0.021742979595608638,0.014624645760448187,0.1372922441796714,1533,38,1,CDC PLACES 2024,Independent Living Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
INDEPLIVE,meaning_cesi,-0.024921564575658483,0.015429264276023306,0.10647142498539221,1533,38,0.8517713998831377,CDC PLACES 2024,Independent Living Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
MOBILITY,practice_cesi,-0.023828337786452193,0.01235646993295383,0.05398916608486314,1533,38,0.5398916608486314,CDC PLACES 2024,Mobility Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
MOBILITY,meaning_cesi,-0.027063441548255233,0.013020351853965407,0.03782551666544885,1533,38,0.4539061999853862,CDC PLACES 2024,Mobility Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
SELFCARE,practice_cesi,-0.06024911500012274,0.01364840143556237,1.0852071154732218e-5,1533,38,2.7130177886830546e-4,CDC PLACES 2024,Self-care Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
SELFCARE,meaning_cesi,-0.03908453902868269,0.014401700480821835,0.006725493758708107,1533,38,0.1076079001393297,CDC PLACES 2024,Self-care Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
VISION,practice_cesi,0.0015853545254607003,0.012195012815743011,0.8965835770177686,1533,38,1,CDC PLACES 2024,Vision Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
VISION,meaning_cesi,-0.09724801886012387,0.012867702716849267,7.0762843562511e-14,1533,38,2.5474623682503963e-12,CDC PLACES 2024,Vision Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
ARTHRITIS,practice_cesi,-0.1064294260114103,0.012767715388668789,1.707822556338111e-16,1533,38,6.318943458451011e-15,CDC PLACES 2024,Arthritis,Age-adjusted percentage of adults,Worse health / higher risk prevalence
ARTHRITIS,meaning_cesi,0.05458690736345019,0.01344454106348653,5.155445911248768e-5,1533,38,0.0012373070186997043,CDC PLACES 2024,Arthritis,Age-adjusted percentage of adults,Worse health / higher risk prevalence
BPHIGH,practice_cesi,-0.10652722160866165,0.011403586532455627,3.43936308490624e-20,1480,37,1.3757452339624961e-18,CDC PLACES 2024,High Blood Pressure,Age-adjusted percentage of adults,Worse health / higher risk prevalence
BPHIGH,meaning_cesi,0.11649738392193419,0.012024598768032295,1.492554830688272e-21,1480,37,6.41798577195957e-20,CDC PLACES 2024,High Blood Pressure,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CANCER,practice_cesi,-0.037218261906117586,0.009902423838516692,1.7742964372856676e-4,1533,38,0.0040808818057570355,CDC PLACES 2024,Cancer (non-skin) or Melanoma,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CANCER,meaning_cesi,-0.0258110288928079,0.010427939432366005,0.013425846210637067,1533,38,0.20007033668368124,CDC PLACES 2024,Cancer (non-skin) or Melanoma,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CASTHMA,practice_cesi,-0.11020456143428124,0.017481977450135227,3.802004189150962e-10,1533,38,1.2546613824198175e-8,CDC PLACES 2024,Current Asthma,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CASTHMA,meaning_cesi,0.10554264881629558,0.01840716479496039,1.1845246292101406e-8,1533,38,3.6720263505514363e-7,CDC PLACES 2024,Current Asthma,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CHD,practice_cesi,-0.030856197918106048,0.014389093058587248,0.032156677013488524,1533,38,0.3933960789494731,CDC PLACES 2024,Coronary Heart Disease,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CHD,meaning_cesi,-0.09619447844482132,0.015163924152601357,2.948921366501799e-10,1533,38,1.0321224782756296e-8,CDC PLACES 2024,Coronary Heart Disease,Age-adjusted percentage of adults,Worse health / higher risk prevalence
COPD,practice_cesi,-0.022072944109654578,0.014784152979680967,0.13563968004444527,1533,38,1,CDC PLACES 2024,COPD,Age-adjusted percentage of adults,Worse health / higher risk prevalence
COPD,meaning_cesi,0.016270374455280016,0.015580325990647395,0.2965164773616597,1533,38,1,CDC PLACES 2024,COPD,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DEPRESSION,practice_cesi,-0.040320818926471,0.011790601935628843,6.435522611081234e-4,1533,38,0.013514597483270592,CDC PLACES 2024,Depression,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DEPRESSION,meaning_cesi,-0.05246183276441519,0.01241307660306641,2.5181260083985024e-5,1533,38,6.295315020996256e-4,CDC PLACES 2024,Depression,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DIABETES,practice_cesi,-0.044950962851215595,0.009784758716698322,4.711054999897492e-6,1533,38,1.271984849972323e-4,CDC PLACES 2024,Diabetes,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DIABETES,meaning_cesi,-0.03806334917600222,0.010302280128022505,2.2806791791934132e-4,1533,38,0.005017494194225509,CDC PLACES 2024,Diabetes,Age-adjusted percentage of adults,Worse health / higher risk prevalence
HIGHCHOL,practice_cesi,0.07021647040198498,0.018803545304751874,1.9553693220814426e-4,1480,37,0.004301812508579174,CDC PLACES 2024,High Cholesterol,Age-adjusted percentage of adults,Worse health / higher risk prevalence
HIGHCHOL,meaning_cesi,-0.04913624564366998,0.019831883783277732,0.013338022445578749,1480,37,0.20007033668368124,CDC PLACES 2024,High Cholesterol,Age-adjusted percentage of adults,Worse health / higher risk prevalence
OBESITY,practice_cesi,-0.02605037355947737,0.018315379313994306,0.1551381359408509,1533,38,1,CDC PLACES 2024,Obesity,Age-adjusted percentage of adults,Worse health / higher risk prevalence
OBESITY,meaning_cesi,0.08304202665075917,0.01929064954951197,1.7787078918515018e-5,1533,38,4.802511307999055e-4,CDC PLACES 2024,Obesity,Age-adjusted percentage of adults,Worse health / higher risk prevalence
STROKE,practice_cesi,-0.10399133759332713,0.014994911542819544,5.990190833627733e-12,1533,38,2.0965667917697067e-10,CDC PLACES 2024,Stroke,Age-adjusted percentage of adults,Worse health / higher risk prevalence
STROKE,meaning_cesi,0.05513639128032048,0.01582092045552862,5.060570400646519e-4,1533,38,0.01062719784135769,CDC PLACES 2024,Stroke,Age-adjusted percentage of adults,Worse health / higher risk prevalence
TEETHLOST,practice_cesi,-0.047742278561074034,0.020007085356351442,0.01714246148617036,1533,38,0.2914218452648961,CDC PLACES 2024,All Teeth Lost,Age-adjusted percentage of adults,Worse health / higher risk prevalence
TEETHLOST,meaning_cesi,0.03300187252066143,0.02110930318707529,0.11817126794170502,1533,38,0.8517713998831377,CDC PLACES 2024,All Teeth Lost,Age-adjusted percentage of adults,Worse health / higher risk prevalence
BINGE,practice_cesi,-0.00299002772645577,0.01205190087996279,0.8040940849220566,1533,38,1,CDC PLACES 2024,Binge Drinking,Age-adjusted percentage of adults,Worse health / higher risk prevalence
BINGE,meaning_cesi,-0.031148327043029708,0.01268749084435585,0.01419957288055441,1533,38,0.20007033668368124,CDC PLACES 2024,Binge Drinking,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CSMOKING,practice_cesi,-0.03573136828604499,0.016476143456396995,0.03026123684226716,1533,38,0.3933960789494731,CDC PLACES 2024,Current Cigarette Smoking,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CSMOKING,meaning_cesi,0.03197652175462342,0.017361746259480768,0.06570113117445035,1533,38,0.5913101805700531,CDC PLACES 2024,Current Cigarette Smoking,Age-adjusted percentage of adults,Worse health / higher risk prevalence
LPA,practice_cesi,0.04494405612485022,0.013674860266345764,0.0010370907304969401,1533,38,0.0207418146099388,CDC PLACES 2024,Physical Inactivity,Age-adjusted percentage of adults,Worse health / higher risk prevalence
LPA,meaning_cesi,-0.029315280564598083,0.01440456765229952,0.042010420209548885,1533,38,0.46211462230503775,CDC PLACES 2024,Physical Inactivity,Age-adjusted percentage of adults,Worse health / higher risk prevalence
SLEEP,practice_cesi,-0.0907862912199332,0.018646190822266855,1.2385275901565152e-6,1533,38,3.4678772524382425e-5,CDC PLACES 2024,Short Sleep Duration,Age-adjusted percentage of adults,Worse health / higher risk prevalence
SLEEP,meaning_cesi,0.10813953080165493,0.019647237961063314,4.3473505041253867e-8,1533,38,1.304205151237616e-6,CDC PLACES 2024,Short Sleep Duration,Age-adjusted percentage of adults,Worse health / higher risk prevalence
GHLTH,practice_cesi,0.013789552794903775,0.012689855317140987,0.2773581733137302,1533,38,1,CDC PLACES 2024,General Health,Age-adjusted percentage of adults,Worse health / higher risk prevalence
GHLTH,meaning_cesi,-0.07720868611298602,0.01337603698690311,9.456773848506304e-9,1533,38,3.026167631522017e-7,CDC PLACES 2024,General Health,Age-adjusted percentage of adults,Worse health / higher risk prevalence
MHLTH,practice_cesi,-0.034872471053437055,0.015221580233902724,0.02210011066743394,1533,38,0.35360177067894305,CDC PLACES 2024,Frequent Mental Distress,Age-adjusted percentage of adults,Worse health / higher risk prevalence
MHLTH,meaning_cesi,0.009242404778202862,0.01603456172974024,0.5644266552482611,1533,38,1,CDC PLACES 2024,Frequent Mental Distress,Age-adjusted percentage of adults,Worse health / higher risk prevalence
PHLTH,practice_cesi,0.0026594709955623645,0.014418333883529793,0.8536843453774513,1533,38,1,CDC PLACES 2024,Frequent Physical Distress,Age-adjusted percentage of adults,Worse health / higher risk prevalence
PHLTH,meaning_cesi,-0.0903993131685675,0.015198091913309583,3.3557653189205265e-9,1533,38,1.1074025552437738e-7,CDC PLACES 2024,Frequent Physical Distress,Age-adjusted percentage of adults,Worse health / higher risk prevalence
EMOTIONSPT,practice_cesi,-0.027283899246387043,0.011301811366365216,0.015891648485108736,1533,38,0.28604967273195725,CDC PLACES 2024,Lack of Social/Emotional Support,Age-adjusted percentage of adults,Worse health / higher risk prevalence
EMOTIONSPT,meaning_cesi,0.057675207178029736,0.011900243447577568,1.3857079965186016e-6,1533,38,3.8799823902520846e-5,CDC PLACES 2024,Lack of Social/Emotional Support,Age-adjusted percentage of adults,Worse health / higher risk prevalence
ISOLATION,practice_cesi,-0.07083793369300959,0.018474736655201673,1.310762442533054e-4,1533,38,0.0031458298620793295,CDC PLACES 2024,Social Isolation,Age-adjusted percentage of adults,Worse health / higher risk prevalence
ISOLATION,meaning_cesi,0.00401225118718117,0.019455840036099882,0.8366440974602961,1533,38,1,CDC PLACES 2024,Social Isolation,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CHR_ALCOHOL_DRIVING_DEATHS,practice_cesi,-0.03140787073476297,0.031904084227127226,0.32505411562876796,1533,38,1,County Health Rankings & Roadmaps 2025,Alcohol-Impaired Driving Deaths,Proportion of driving deaths involving alcohol impairment,Worse health / greater alcohol-related mortality burden
CHR_ALCOHOL_DRIVING_DEATHS,meaning_cesi,0.03295039632203649,0.03366500694490454,0.3278488217775807,1533,38,1,County Health Rankings & Roadmaps 2025,Alcohol-Impaired Driving Deaths,Proportion of driving deaths involving alcohol impairment,Worse health / greater alcohol-related mortality burden
CHR_CHILD_MORTALITY,practice_cesi,-0.11157475966965003,0.024453559552826187,5.528481887650349e-6,1383,38,1.4374052907890908e-4,County Health Rankings & Roadmaps 2025,Child Mortality,"Deaths under age 20 per 100,000",Worse health / higher mortality
CHR_CHILD_MORTALITY,meaning_cesi,0.24396281865531375,0.026805285556342866,3.320970739191145e-19,1383,38,1.3615980030683695e-17,County Health Rankings & Roadmaps 2025,Child Mortality,"Deaths under age 20 per 100,000",Worse health / higher mortality
CHR_FIREARM_FATALITIES,practice_cesi,-0.21469373097254213,0.02448175902992564,4.976503672263512e-18,1437,38,1.8910713954601346e-16,County Health Rankings & Roadmaps 2025,Firearm Fatalities,"Deaths per 100,000",Worse health / higher mortality
CHR_FIREARM_FATALITIES,meaning_cesi,0.1649457645548056,0.026456176651996413,5.94142344218176e-10,1437,38,2.0200839703417983e-8,County Health Rankings & Roadmaps 2025,Firearm Fatalities,"Deaths per 100,000",Worse health / higher mortality
CHR_HOMICIDES,practice_cesi,-0.2525542548768027,0.02610613507271206,3.2696820579859106e-21,1014,38,1.3405696437742233e-19,County Health Rankings & Roadmaps 2025,Homicide Mortality,"Deaths per 100,000",Worse health / higher mortality
CHR_HOMICIDES,meaning_cesi,0.2508709637447502,0.03127611389733916,2.9945583830984277e-15,1014,38,1.1079866017464182e-13,County Health Rankings & Roadmaps 2025,Homicide Mortality,"Deaths per 100,000",Worse health / higher mortality
CHR_INFANT_MORTALITY,practice_cesi,-0.22984819727820394,0.027714940671069135,4.1651080869808525e-16,890,38,1.499438911313107e-14,County Health Rankings & Roadmaps 2025,Infant Mortality,"Deaths under age 1 per 1,000 live births",Worse health / higher mortality
CHR_INFANT_MORTALITY,meaning_cesi,0.28137136568555443,0.033377140347291244,1.5598062256168676e-16,890,38,6.083244279905784e-15,County Health Rankings & Roadmaps 2025,Infant Mortality,"Deaths under age 1 per 1,000 live births",Worse health / higher mortality
CHR_INJURY_DEATHS,practice_cesi,-0.2177399124149089,0.024150977908462507,5.698696164496936e-19,1533,38,2.222491504153805e-17,County Health Rankings & Roadmaps 2025,Injury Deaths,"Deaths per 100,000",Worse health / higher mortality
CHR_INJURY_DEATHS,meaning_cesi,0.015709024679175416,0.025473008533504832,0.5375289907506116,1533,38,1,County Health Rankings & Roadmaps 2025,Injury Deaths,"Deaths per 100,000",Worse health / higher mortality
CHR_LIFEEXP,practice_cesi,0.10263967403680689,0.017791151663054273,9.65407124468816e-9,1533,38,2.8962213734064483e-07,County Health Rankings & Roadmaps 2025,Life Expectancy,Years,Better health / greater longevity
CHR_LIFEEXP,meaning_cesi,-0.07067775535972454,0.018774156699014014,1.731828499351733e-4,1533,38,0.003983205548508986,County Health Rankings & Roadmaps 2025,Life Expectancy,Years,Better health / greater longevity
CHR_MVC_DEATHS,practice_cesi,0.038837648300805695,0.01957810074668464,0.04747105842728444,1520,38,0.5221816427001289,County Health Rankings & Roadmaps 2025,Motor Vehicle Crash Deaths,"Deaths per 100,000",Worse health / higher mortality
CHR_MVC_DEATHS,meaning_cesi,0.1691382008490817,0.02076715771691542,8.005811272909822e-16,1520,38,3.0422082837057323e-14,County Health Rankings & Roadmaps 2025,Motor Vehicle Crash Deaths,"Deaths per 100,000",Worse health / higher mortality
CHR_OVERDOSE_DEATHS,practice_cesi,-0.17538625272096994,0.029103421754324708,2.1745309373114893e-9,1317,38,6.741045905665617e-8,County Health Rankings & Roadmaps 2025,Drug Overdose Deaths,"Deaths per 100,000",Worse health / higher mortality
CHR_OVERDOSE_DEATHS,meaning_cesi,-0.09218557739922258,0.02987543528722516,0.0020733086675441314,1317,38,0.03731955601579436,County Health Rankings & Roadmaps 2025,Drug Overdose Deaths,"Deaths per 100,000",Worse health / higher mortality
CHR_PREMATURE_AAM,practice_cesi,-0.11562299704251448,0.017690123985435662,8.614208424385623e-11,1533,38,2.9288308642911117e-9,County Health Rankings & Roadmaps 2025,Premature Age-Adjusted Mortality,"Deaths per 100,000 (age-adjusted)",Worse health / higher mortality
CHR_PREMATURE_AAM,meaning_cesi,0.06429942274409242,0.018666027883904864,5.872090520725484e-4,1533,38,0.011744181041450969,County Health Rankings & Roadmaps 2025,Premature Age-Adjusted Mortality,"Deaths per 100,000 (age-adjusted)",Worse health / higher mortality
CHR_PREMATURE_DEATH,practice_cesi,-0.1176254437299735,0.019296146590965926,1.3788144894753835e-9,1533,38,4.412206366321227e-8,County Health Rankings & Roadmaps 2025,Premature Death,"Years of potential life lost before age 75 per 100,000 (age-adjusted)",Worse health / higher mortality burden
CHR_PREMATURE_DEATH,meaning_cesi,0.05958334039288916,0.02035928581894448,0.0034778694646088186,1533,38,0.059123780898349916,County Health Rankings & Roadmaps 2025,Premature Death,"Years of potential life lost before age 75 per 100,000 (age-adjusted)",Worse health / higher mortality burden
CHR_SUICIDES,practice_cesi,-0.14787300064473485,0.026973378086725647,4.93231601568798e-8,1484,38,1.4303716445495143e-6,County Health Rankings & Roadmaps 2025,Suicide Mortality,"Deaths per 100,000 (age-adjusted)",Worse health / higher mortality
