outcome_id,cesi_measure,model,beta,standard_error,p,n,n_states,p_holm,source,outcome,native_unit,higher_value_interpretation
COGNITION,practice_cesi,OLS,0.04927334015692399,0.015836069955069105,0.0018865622743795879,2116,38,0.039617807761971345,CDC PLACES 2024,Cognitive Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
COGNITION,practice_cesi,State fixed effects,0.04707424694488707,0.01503335147700924,0.0033924696522783944,2116,38,0.10516655922063023,CDC PLACES 2024,Cognitive Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
COGNITION,meaning_cesi,OLS,-0.12044577892494947,0.017493543282950667,8.391979463350674e-12,1540,39,2.265834455104682e-10,CDC PLACES 2024,Cognitive Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
COGNITION,meaning_cesi,State fixed effects,-0.06399783850272114,0.02231454257797446,0.00670595103272643,1540,39,0.21459043304724576,CDC PLACES 2024,Cognitive Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DISABILITY,practice_cesi,OLS,0.02407604860318657,0.014736430312934843,0.10245483050856423,2116,38,1,CDC PLACES 2024,Any Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DISABILITY,practice_cesi,State fixed effects,0.006915776167411095,0.014145859058089126,0.6278047331074401,2116,38,1,CDC PLACES 2024,Any Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DISABILITY,meaning_cesi,OLS,-0.06474522939994018,0.016418649344570182,8.395891812779258e-5,1540,39,0.0012593837719168887,CDC PLACES 2024,Any Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DISABILITY,meaning_cesi,State fixed effects,-0.04155145403371813,0.015075185486472317,0.008930600085077253,1540,39,0.27684860263739486,CDC PLACES 2024,Any Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
HEARING,practice_cesi,OLS,-0.018167417868807705,0.018629877425443794,0.3295845752005846,2116,38,1,CDC PLACES 2024,Hearing Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
HEARING,practice_cesi,State fixed effects,0.03127879332540919,0.02799770312163529,0.2711147128585033,2116,38,1,CDC PLACES 2024,Hearing Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
HEARING,meaning_cesi,OLS,-0.20650825689801594,0.02091540792999592,2.4744193242751333e-22,1540,39,8.413025702535453e-21,CDC PLACES 2024,Hearing Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
HEARING,meaning_cesi,State fixed effects,-0.17969714759489935,0.029127674058955316,3.3355716388289194e-7,1540,39,1.4676515210847245e-5,CDC PLACES 2024,Hearing Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
INDEPLIVE,practice_cesi,OLS,0.0015501734251342457,0.013557520646684522,0.9089787778813523,2116,38,1,CDC PLACES 2024,Independent Living Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
INDEPLIVE,practice_cesi,State fixed effects,-0.0037546274583723097,0.01643891495843283,0.8205939030658139,2116,38,1,CDC PLACES 2024,Independent Living Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
INDEPLIVE,meaning_cesi,OLS,-0.024350925716119434,0.014917885653851102,0.10281516936671904,1540,39,0.7197061855670333,CDC PLACES 2024,Independent Living Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
INDEPLIVE,meaning_cesi,State fixed effects,-0.02548031607340221,0.020042681699918543,0.21134779676199544,1540,39,1,CDC PLACES 2024,Independent Living Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
MOBILITY,practice_cesi,OLS,0.012659795153314973,0.01291092637308923,0.32692769143733413,2116,38,1,CDC PLACES 2024,Mobility Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
MOBILITY,practice_cesi,State fixed effects,-0.014300147053480556,0.013441360307567067,0.2942721705572831,2116,38,1,CDC PLACES 2024,Mobility Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
MOBILITY,meaning_cesi,OLS,-0.0014445276604710014,0.014397426719723157,0.9200935944694696,1540,39,1,CDC PLACES 2024,Mobility Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
MOBILITY,meaning_cesi,State fixed effects,-0.028269091777737364,0.016183668912052293,0.08875716702943127,1540,39,1,CDC PLACES 2024,Mobility Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
SELFCARE,practice_cesi,OLS,-0.04840939962844825,0.012320604569325148,8.7994010275664e-5,2116,38,0.002287844267167264,CDC PLACES 2024,Self-care Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
SELFCARE,practice_cesi,State fixed effects,-0.05111093810710503,0.015297770556995586,0.0019166642723632628,2116,38,0.06516658526035093,CDC PLACES 2024,Self-care Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
SELFCARE,meaning_cesi,OLS,0.024297351513558305,0.013606355126122648,0.07433970780058964,1540,39,0.5947176624047171,CDC PLACES 2024,Self-care Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
SELFCARE,meaning_cesi,State fixed effects,-0.046347052753885426,0.027557429204046437,0.10080251034525967,1540,39,1,CDC PLACES 2024,Self-care Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
VISION,practice_cesi,OLS,0.004759689779740461,0.01081258628235241,0.6598380859280244,2116,38,1,CDC PLACES 2024,Vision Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
VISION,practice_cesi,State fixed effects,0.0010972097813591007,0.011758503266332647,0.9261591347427275,2116,38,1,CDC PLACES 2024,Vision Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
VISION,meaning_cesi,OLS,-0.07053546059669746,0.012056525480709564,5.984732888413894e-9,1540,39,1.3166412354510567e-7,CDC PLACES 2024,Vision Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
VISION,meaning_cesi,State fixed effects,-0.10154119072044232,0.04709925414050126,0.03748738377630178,1540,39,0.8526033427215975,CDC PLACES 2024,Vision Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
ARTHRITIS,practice_cesi,OLS,-0.0748245723353683,0.018100642903512938,3.707642641134685e-5,2116,38,0.0010752163659290585,CDC PLACES 2024,Arthritis,Age-adjusted percentage of adults,Worse health / higher risk prevalence
ARTHRITIS,practice_cesi,State fixed effects,-0.06438501129185956,0.018286033383229126,0.0011604814619199993,2116,38,0.04177733262911998,CDC PLACES 2024,Arthritis,Age-adjusted percentage of adults,Worse health / higher risk prevalence
ARTHRITIS,meaning_cesi,OLS,0.17905282126119462,0.020092825348883615,1.3979975387373156e-18,1540,39,4.3337923700856785e-17,CDC PLACES 2024,Arthritis,Age-adjusted percentage of adults,Worse health / higher risk prevalence
ARTHRITIS,meaning_cesi,State fixed effects,0.0558957469472578,0.027494599444331313,0.0490846053117533,1540,39,1,CDC PLACES 2024,Arthritis,Age-adjusted percentage of adults,Worse health / higher risk prevalence
BPHIGH,practice_cesi,OLS,0.0023028183985318216,0.016563956908129802,0.8894434010627235,2052,37,1,CDC PLACES 2024,High Blood Pressure,Age-adjusted percentage of adults,Worse health / higher risk prevalence
BPHIGH,practice_cesi,State fixed effects,-0.08974723525747567,0.018512391426766823,2.388833737426297e-5,2052,37,9.077568202219928e-4,CDC PLACES 2024,High Blood Pressure,Age-adjusted percentage of adults,Worse health / higher risk prevalence
