outcome_id,cesi_measure,effect,beta,standard_error,p,n,n_states,p_holm,source,outcome,native_unit,higher_value_interpretation
COGNITION,practice_cesi,Within state,0.03851590225403802,0.01065805306988664,3.089228767823168e-4,2116,38,0.00864984054990487,CDC PLACES 2024,Cognitive Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
COGNITION,practice_cesi,Between states,0.006715316179212966,0.061817015302835454,0.9140700783311277,2116,38,1,CDC PLACES 2024,Cognitive Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
COGNITION,meaning_cesi,Within state,-0.0504164009021817,0.012139930894912351,3.464724957642217e-5,1540,39,8.86931552694652e-4,CDC PLACES 2024,Cognitive Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
COGNITION,meaning_cesi,Between states,-0.0773505482307527,0.06076774368831685,0.21044208061074354,1540,39,1,CDC PLACES 2024,Cognitive Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DISABILITY,practice_cesi,Within state,0.006022669405509195,0.009276123914367366,0.5162383740054233,2116,38,1,CDC PLACES 2024,Any Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DISABILITY,practice_cesi,Between states,0.01585497732664089,0.06560553551952912,0.8104154620859992,2116,38,1,CDC PLACES 2024,Any Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DISABILITY,meaning_cesi,Within state,-0.03288012095779744,0.010390808036895124,0.001585243999433431,1540,39,0.03011963598923519,CDC PLACES 2024,Any Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DISABILITY,meaning_cesi,Between states,0.003464466859990114,0.06511194942802452,0.9578470686593539,1540,39,1,CDC PLACES 2024,Any Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
HEARING,practice_cesi,Within state,0.02537081761836638,0.010765992820589527,0.018536867489064673,2116,38,0.37073734978129347,CDC PLACES 2024,Hearing Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
HEARING,practice_cesi,Between states,-0.11910239748266274,0.07868244598620927,0.13859838238043617,2116,38,1,CDC PLACES 2024,Hearing Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
HEARING,meaning_cesi,Within state,-0.14067734368012016,0.011716211536239363,8.682814798038211e-32,1540,39,3.820438511136813e-30,CDC PLACES 2024,Hearing Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
HEARING,meaning_cesi,Between states,-0.17519714473066425,0.08518938998788426,0.0466024491914972,1540,39,1,CDC PLACES 2024,Hearing Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
INDEPLIVE,practice_cesi,Within state,-0.0019755264567125957,0.010785305039169921,0.8546837467770677,2116,38,1,CDC PLACES 2024,Independent Living Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
INDEPLIVE,practice_cesi,Between states,-0.0018349655172221794,0.04160135299601283,0.9650432603887481,2116,38,1,CDC PLACES 2024,Independent Living Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
